"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250621_163352.csv",,,,"Date:","21 Jun 2025 16:33:52 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
21-06 16:33:52,,,3715488,11908160,16144,555920
21-06 16:33:53,0.150,0.200,99.555,0,0,0,0,3717776,11905668,16144,556116
21-06 16:33:54,0.100,0.200,99.834,0,0,0,0,3717064,11906380,16144,556116
21-06 16:33:55,0.150,1.051,97.645,0.901,0,128684.950,40.039,3976924,11517624,16144,684932
21-06 16:33:56,1.879,2.275,92.616,2.868,0,414063.608,71.205,4393048,10681844,16152,1103620
21-06 16:33:57,0.399,2.396,94.461,2.846,0,431746.540,0,4823152,9818348,16152,1536004
21-06 16:33:58,0.395,2.274,94.606,2.373,0,431112.478,3.954,5261172,8943208,16152,1972116
21-06 16:33:59,0.614,2.405,94.303,2.303,0,433973.888,0,5681388,8097840,16152,2396292
21-06 16:34:00,0.249,2.286,94.537,2.137,0,456419.988,63.621,6139800,7179604,16152,2855044
21-06 16:34:01,0.801,2.604,94.187,2.103,0,441217.413,0,6584340,6293204,16152,3295880
21-06 16:34:02,8.043,3.047,231.954,2.048,0,418335.317,27.976,7132872,5325240,16160,3714312
21-06 16:34:03,0.149,0.547,99.097,0,0,0,0,3718880,8739232,16160,3714312
