"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -cdm --output ./dstat_output_new.csv 1 300 -t",,,,"Date:","20 Jun 2025 02:07:18 CST"
"total usage",,,,,"dsk/total",,"memory usage",,,,"system"
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach","time"
,,7017428,9105780,5816,84472,20-06 02:07:18
0.050,0.150,99.691,0,0,395.963,55.995,7017996,9104772,5960,84720,20-06 02:07:19
0.196,0.147,99.675,0,0,27.389,0,7018756,9103740,5960,84992,20-06 02:07:20
0.407,0.204,99.380,0.051,0,252.394,0,7015800,9106464,6036,85148,20-06 02:07:21
0.200,0.249,99.552,0.050,0,3.990,0,7017816,9104448,6036,85148,20-06 02:07:22
0.146,1.611,96.578,1.514,0,197640.942,0,7475416,8444284,6180,287568,20-06 02:07:23
0.309,2.217,94.307,2.784,0,423354.503,33.000,7888980,7620176,6192,698100,20-06 02:07:24
0.146,2.086,94.689,2.716,0,417002.882,0,8320744,6758588,6192,1127924,20-06 02:07:25
0.769,2.460,94.141,2.665,0,434643.044,0,8749848,5905452,6192,1551988,20-06 02:07:26
0.195,1.852,94.759,2.827,0,414165.152,0,9175428,5055204,6192,1976656,20-06 02:07:27
0.493,2.072,94.438,2.714,0,419862.735,0,9601472,4202980,6192,2402164,20-06 02:07:28
0.251,1.805,94.663,2.708,0,416742.662,36.100,10018376,3369412,6200,2817876,20-06 02:07:29
0.399,2.097,94.376,2.746,0,423888.825,0,10441704,2520708,6200,3242324,20-06 02:07:30
0.466,2.122,94.318,2.744,0,419298.772,0,10850976,1705804,6200,3647060,20-06 02:07:31
0.451,1.953,94.354,2.504,0,455912.796,0,11307452,793024,6200,4102356,20-06 02:07:32
0.299,2.143,94.445,2.592,0,422190.540,0,11711408,233104,6200,4257408,20-06 02:07:33
0.591,1.626,94.276,3.499,0,417373.285,23.655,12114008,243196,6208,3843732,20-06 02:07:34
0.346,1.334,94.340,3.558,0,450268.559,0,12567844,257144,6208,3374940,20-06 02:07:35
0.617,1.542,93.686,3.340,0,432986.825,0,12963316,252156,6208,2983480,20-06 02:07:36
0.251,1.707,94.459,3.515,0,444718.884,8.035,13398796,237756,6208,2561392,20-06 02:07:37
0.341,1.705,94.224,3.508,0,442143.599,0,13855160,238752,6208,2102992,20-06 02:07:38
0.300,1.451,94.244,3.554,0,450112.907,40.040,14302056,254592,6216,1639240,20-06 02:07:39
0.401,1.353,94.322,3.608,0,433403.342,0,14734540,230660,6216,1229696,20-06 02:07:40
0.714,1.735,94.050,3.470,0,435552.610,0,15165716,234592,6216,793612,20-06 02:07:41
0.601,1.502,94.023,3.455,0,438976.208,0,15603836,241584,6216,347540,20-06 02:07:42
4.946,0.100,94.820,0.050,0,7233.876,67.942,15605380,242656,6216,344904,20-06 02:07:43
5.030,0.149,94.626,0.050,0,0,23.906,15607380,240640,6224,344896,20-06 02:07:44
5.014,0.051,94.912,0,0,0,28.362,15607372,240640,6224,344904,20-06 02:07:45
6.442,2.279,91.228,0,0,344.893,0,12721636,3338920,6256,132328,20-06 02:07:46
0.402,1.809,318.829,0.101,0,2926.953,44.226,6890336,9167112,6276,135504,20-06 02:07:47
0.148,0.541,99.169,0,0,15.733,0,6891004,9166444,6292,135488,20-06 02:07:48
0.303,0.151,99.383,0,0,145.218,0,6889184,9168156,6292,135596,20-06 02:07:49
0.050,0.649,99.179,0,0,0,0,6890516,9166820,6292,135600,20-06 02:07:50
0.050,0.100,99.625,0,0,4.009,44.100,6893028,9164308,6296,135596,20-06 02:07:51
0.201,0.503,99.188,0.050,0,0,36.252,6890976,9166348,6304,135600,20-06 02:07:52
0.050,0.050,99.946,0,0,0,0,6890976,9166348,6304,135600,20-06 02:07:53
0.451,0.351,98.879,0,0,0,0,6891760,9165560,6304,135604,20-06 02:07:54
0.050,0,99.781,0,0,0,0,6891508,9165812,6304,135604,20-06 02:07:55
0.100,0.451,99.245,0,0,0,64.126,6890796,9166524,6304,135604,20-06 02:07:56
0.100,0.050,99.892,0,0,0,32.013,6888588,9168732,6312,135596,20-06 02:07:57
0.150,0.349,99.206,0,0,3.990,0,7022420,9034892,6312,135604,20-06 02:07:58
0.299,0.050,99.559,0,0,0,0,6891668,9165644,6312,135604,20-06 02:07:59
0.101,0.403,99.647,0,0,0,0,6888536,9168776,6312,135604,20-06 02:08:00
0.050,0.149,99.521,0,0,0,0,6888476,9168836,6312,135604,20-06 02:08:01
0.050,0,99.686,0,0,0,24.215,6889484,9167828,6320,135596,20-06 02:08:02
0.097,0.826,98.886,0,0,0,0,6889928,9167384,6320,135596,20-06 02:08:03
0.254,0.152,99.356,0.305,0,3407.067,0,6891076,9163108,6320,138708,20-06 02:08:04
0.450,2.347,94.997,2.098,0,295423.856,0,7450576,8307540,6320,434776,20-06 02:08:05
0.253,1.872,94.459,2.985,0,408635.912,0,7854792,7499484,6320,838616,20-06 02:08:06
0.428,2.093,94.430,2.664,0,403121.355,79.921,8281216,6649380,6328,1262288,20-06 02:08:07
0.209,2.245,94.641,2.349,0,411731.654,0,8675040,5861236,6328,1656592,20-06 02:08:08
0.350,2.647,93.845,2.647,0,393666.746,0,9072280,5070336,6328,2050252,20-06 02:08:09
0.401,2.657,94.644,2.506,0,417980.386,0,9488448,4237260,6328,2467160,20-06 02:08:10
0.493,2.415,94.367,2.415,0,415165.397,0,9910084,3394248,6328,2888536,20-06 02:08:11
0.243,2.044,94.650,2.433,0,416839.450,46.716,10339484,2536548,6340,3316824,20-06 02:08:12
0.260,2.084,94.405,2.605,0,410802.092,0,10734708,1747212,6340,3710936,20-06 02:08:13
0.451,2.755,94.334,2.355,0,448374.302,0,11183812,850492,6340,4158552,20-06 02:08:14
0.345,2.806,94.525,1.969,0,369026.963,14702.630,11462252,246772,6340,4483832,20-06 02:08:15
0.524,3.004,93.872,2.527,0,187842.166,180042.584,11470592,234308,6340,4487860,20-06 02:08:16
1.481,7.880,309.085,10.155,0,546049.715,457834.686,11552164,252432,6348,4388236,20-06 02:08:17
0.298,1.292,94.158,4.124,0,93496.353,70651.936,11573752,251968,6348,4367128,20-06 02:08:18
0.403,1.563,93.857,4.184,0,93905.565,69391.805,11593492,252940,2548,4350368,20-06 02:08:19
0.196,1.320,93.367,5.084,0,82346.537,64021.235,11617064,246568,2556,4333168,20-06 02:08:20
0.412,1.596,93.009,5.096,0,98413.139,75596.938,11644712,244308,2556,4307780,20-06 02:08:21
0.648,1.296,91.363,6.878,0,80670.947,75618.795,11665884,257752,2556,4273176,20-06 02:08:22
0.504,1.614,94.098,3.883,0,106640.314,73132.163,11691652,261216,2556,4243944,20-06 02:08:23
0.335,1.340,94.390,4.306,0,98103.853,66203.739,11718320,249228,2560,4229260,20-06 02:08:24
0.369,1.370,92.394,5.478,0,102221.335,69907.644,11742564,250556,2568,4203680,20-06 02:08:25
0.232,0.881,94.130,4.918,0,47988.294,40198.083,11760464,246232,2568,4190104,20-06 02:08:26
0.424,0.635,94.190,4.606,0,34977.996,28137.421,11772664,257604,2572,4166528,20-06 02:08:27
0.098,0.098,90.079,9.593,0,0,2680.239,11773724,256592,2572,4166512,20-06 02:08:28
0.153,0.255,89.818,9.980,0,0,228.110,11775988,254328,2572,4166512,20-06 02:08:29
