"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat_output.csv 1 120",,,,"Date:","20 Jun 2025 01:39:32 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 01:39:32,,,8843512,7077836,7168,262444
20-06 01:39:33,0.193,0.193,99.378,0.241,0,1802.674,0,8849468,7070908,7168,263424
20-06 01:39:34,0.150,0.150,99.524,0,0,180.225,48.060,8847888,7071944,7176,263960
20-06 01:39:35,0.153,0.153,99.610,0.051,0,28.650,0,8848036,7071796,7176,263960
20-06 01:39:36,0.606,0.656,97.498,1.211,0,1299.974,50642.467,8851752,7067508,7188,264520
20-06 01:39:37,0.703,0.402,89.306,8.690,0,6164.025,227558.616,8855732,7063352,7240,264644
20-06 01:39:38,1.087,0.198,94.733,3.756,0,19.767,245070.842,8853176,7065564,7284,264920
20-06 01:39:39,1.011,0.253,93.478,5.207,0,105.157,116024.132,8851780,7066920,7300,264936
20-06 01:39:40,0.700,0.200,94.790,4.500,0,4.000,84051.138,8853016,7065664,7320,264944
20-06 01:39:41,0.599,0.200,93.799,5.194,0,95.896,76765.148,8853132,7065528,7332,264952
20-06 01:39:42,0.794,0.298,94.815,4.468,0,7.943,99675.665,8855032,7063592,7344,264960
20-06 01:39:43,0.352,0.151,94.345,4.883,0,44.303,77368.537,8854904,7063852,7360,264812
20-06 01:39:44,0.796,0.100,92.095,6.870,0,234.967,81708.657,8855932,7062788,7380,264820
20-06 01:39:45,0.801,0.250,91.857,7.212,0,440.753,116987.847,8856228,7062280,7392,265020
20-06 01:39:46,0.551,0.301,94.050,5.161,0,40.085,69868.935,8856072,7062388,7416,265036
20-06 01:39:47,0.489,0.098,94.611,4.405,0,3.916,103282.454,8857312,7061128,7428,265044
20-06 01:39:48,0.533,0.048,94.497,4.650,0,23.249,109195.634,8857508,7060900,7452,265052
20-06 01:39:49,0.538,0.098,93.754,5.526,0,203.453,86189.558,8855788,7062592,7464,265068
20-06 01:39:50,0.574,0.052,93.652,5.371,0,158.520,91169.938,8859224,7059104,7488,265084
20-06 01:39:51,2.561,0.564,302.608,13.715,0,55.556,440252.533,8852500,7065712,7572,265140
20-06 01:39:52,0.637,0.058,93.496,5.329,0,97.319,110443.554,8851976,7066196,7596,265156
20-06 01:39:53,0.581,0.369,94.784,4.380,0,0,90933.154,8855224,7062928,7608,265164
20-06 01:39:54,0.745,0.050,94.060,5.068,0,206.704,93656.949,8855856,7062264,7624,265180
20-06 01:39:55,0.905,0.151,94.449,4.225,0,4.023,131922.511,8857832,7060248,7648,265196
20-06 01:39:56,0.630,0.097,94.995,4.510,0,19.397,77539.904,8858308,7059744,7668,265204
20-06 01:39:57,0.931,0.310,93.588,4.912,0,434.333,152583.144,8856020,7061992,7692,265220
20-06 01:39:58,0.586,0.098,94.627,4.541,0,3.906,88044.937,8856296,7061684,7704,265228
20-06 01:39:59,0.666,0.102,94.350,4.710,0,45.050,81860.816,8857728,7060212,7728,265244
20-06 01:40:00,0.631,0.291,94.687,4.368,0,15.530,85518.555,8858736,7059160,7740,265252
20-06 01:40:01,0.753,0.050,94.960,4.266,0,0,90503.170,8858716,7059160,7752,265260
20-06 01:40:02,0.717,0.256,93.351,5.431,0,188.546,86136.689,8858812,7058972,7776,265320
20-06 01:40:03,0.702,0.050,94.720,4.460,0,12.028,82155.125,8859044,7058720,7788,265328
20-06 01:40:04,0.640,0.295,94.190,4.677,0,27.573,92974.480,8856308,7061428,7808,265336
20-06 01:40:05,0.551,0,94.086,5.358,0,44.064,86220.332,8856520,7061176,7832,265352
20-06 01:40:06,0.804,0.301,94.266,4.673,0,16.079,83400.316,8855580,7062088,7844,265360
20-06 01:40:07,0.655,0.151,94.779,4.434,0,12.093,90910.885,8855808,7061836,7860,265368
20-06 01:40:08,0.740,0.197,92.805,5.967,0,358.989,85900.930,8860028,7057564,7880,265384
20-06 01:40:09,0.698,0.150,93.573,5.384,0,107.681,83839.755,8859384,7058180,7900,265392
20-06 01:40:10,0.755,0.201,94.671,4.678,0,20.121,91737.645,8859940,7057604,7912,265400
20-06 01:40:11,0.455,0.051,94.313,4.650,0,24.261,90132.102,8860156,7057352,7936,265408
20-06 01:40:12,0.599,0.249,94.291,4.789,0,19.956,82816.718,8860272,7057216,7948,265424
20-06 01:40:13,0.749,0.150,94.870,4.292,0,0,97143.926,8860252,7057216,7960,265432
20-06 01:40:14,0.651,0.301,91.997,6.764,0,320.687,82188.034,8862132,7055284,7984,265456
20-06 01:40:15,0.651,0.150,94.728,4.408,0,12.023,91347.831,8862364,7055032,7996,265464
20-06 01:40:16,0.548,0.149,94.667,4.534,0,3.986,93921.203,8862716,7054660,8008,265472
20-06 01:40:17,0.601,0.100,94.610,4.505,0,16.019,80048.806,8860144,7057200,8032,265488
20-06 01:40:18,0.850,0.050,94.562,4.501,0,8.001,93239.526,8857940,7059384,8044,265496
20-06 01:40:19,1.002,0.150,93.464,5.312,0,108.248,92467.465,8857184,7060120,8056,265504
20-06 01:40:20,0.551,0.350,94.605,4.505,0,12.013,74923.254,8857640,7059632,8080,265520
20-06 01:40:21,2.052,0.400,338.315,17.714,0,160.126,318149.519,8856900,7060300,8128,265544
20-06 01:40:22,0.798,0.299,94.072,4.786,0,31.906,81765.981,8859512,7057672,8152,265544
20-06 01:40:23,0.550,0.050,94.862,4.403,0,4.003,83038.289,8857244,7059896,8164,265576
20-06 01:40:24,0.651,0.200,94.582,4.554,0,56.048,98437.077,8857168,7059952,8176,265584
20-06 01:40:25,0.500,0.050,94.673,4.651,0,28.007,86120.717,8857136,7059952,8200,265592
20-06 01:40:26,3.199,0.450,91.180,5.099,0,107.977,85013.502,8852752,7064324,8212,265608
20-06 01:40:27,0.751,0.100,94.624,4.353,0,16.013,95362.649,8853232,7063820,8224,265616
20-06 01:40:28,0.549,0.349,94.643,4.438,0,11.968,81778.358,8852156,7064864,8248,265632
20-06 01:40:29,0.634,0.049,94.629,4.392,0,7.809,91992.014,8853408,7063592,8260,265640
20-06 01:40:30,0.921,0.153,94.714,4.296,0,0,92246.963,8853888,7063092,8280,265648
20-06 01:40:31,0.851,0.200,92.026,6.906,0,560.464,89213.822,8854416,7062548,8296,265656
20-06 01:40:32,0.899,0.200,93.800,5.145,0,127.864,86999.635,8853516,7063428,8308,265672
20-06 01:40:33,0.495,0.198,94.813,4.458,0,31.703,85293.953,8851676,7065248,8328,265672
20-06 01:40:34,0.654,0.050,94.713,4.376,0,4.024,90703.146,8851392,7065500,8344,265696
20-06 01:40:35,0.551,0.200,94.847,4.459,0,4.008,81104.759,8850908,7065964,8356,265704
20-06 01:40:36,0.754,0.302,93.373,5.179,0,80.451,91738.182,8851776,7065068,8376,265712
20-06 01:40:37,0.601,0.100,94.649,4.607,0,52.082,80093.889,8854224,7062592,8392,265720
20-06 01:40:38,0.446,0.149,93.846,5.101,0,11.886,87263.394,8848212,7068584,8404,265736
20-06 01:40:39,0.601,0.100,94.791,4.707,0,28.042,91319.869,8848444,7068332,8416,265744
20-06 01:40:40,0.451,0.201,94.553,4.615,0,12.039,82267.346,8850920,7065816,8440,265760
20-06 01:40:41,0.603,0.301,94.404,4.471,0,20.097,85442.702,8853516,7063208,8452,265760
20-06 01:40:42,0.647,0.199,94.308,4.681,0,23.901,93877.728,8851976,7064692,8464,265776
20-06 01:40:43,0.701,0,94.540,4.507,0,140.208,78019.472,8852064,7064440,8616,265784
20-06 01:40:44,0.550,0.250,94.251,4.853,0,148.080,86102.294,8853172,7063180,8760,265800
20-06 01:40:45,0.601,0.100,94.773,4.406,0,16.021,91302.103,8853152,7063180,8772,265808
20-06 01:40:46,0.701,0.250,94.240,4.657,0,36.054,83151.476,8854524,7061776,8796,265816
20-06 01:40:47,0.600,0.150,93.892,5.350,0,51.996,88108.560,8851288,7064980,8808,265832
20-06 01:40:48,0.528,0.288,94.562,4.466,0,11.526,112205.940,8854016,7062212,8832,265848
20-06 01:40:49,0.462,0.103,94.884,4.513,0,12.309,75718.484,8854252,7061964,8844,265848
20-06 01:40:50,0.454,0.101,93.634,5.401,0,96.915,85842.226,8852220,7063968,8856,265864
20-06 01:40:51,2.340,0.585,326.427,17.206,0,214.466,304915.691,8856968,7059120,8916,265904
20-06 01:40:52,0.551,0.301,94.230,4.859,0,44.084,90328.569,8857952,7058116,8928,265912
20-06 01:40:53,0.556,0,94.832,4.347,0,4.044,92223.936,8855696,7060328,8952,265928
20-06 01:40:54,0.810,0.405,93.866,4.858,0,52.626,87103.568,8855340,7060700,8964,265940
20-06 01:40:55,0.638,0.294,94.763,4.660,0,15.696,70356.494,8853904,7062116,8976,265948
20-06 01:40:56,0.864,0.254,94.541,4.216,0,4.064,103093.772,8853492,7062504,9000,265956
20-06 01:40:57,0.653,0.151,94.843,4.373,0,4.021,83421.418,8851828,7064140,9012,265972
20-06 01:40:58,0.549,0.249,90.307,8.681,0,910.054,80763.328,8853564,7062384,9024,265980
20-06 01:40:59,0.601,0.301,94.532,4.311,0,4.010,94535.705,8856544,7059364,9048,265996
