"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -cdm --output ./dstat_output.csv 1 60",,,,"Date:","19 Jun 2025 15:08:21 CST"
"total usage",,,,,"dsk/total",,"memory usage",,,
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
,,9342700,6691368,836,4350752
0.600,0.300,98.878,0.200,0,2861.928,0,9351004,6678180,1112,4355352
0.150,0.250,99.460,0.150,0,3010.778,3.998,9353056,6673112,1240,4358240
0.750,2.301,96.860,0.050,0,1548.966,0,10020460,6004352,1336,4359508
1.697,3.992,94.510,0,0,0,0,11211928,4812884,1336,4359508
4.057,1.202,94.910,0.050,0,0,48.081,11583376,4441436,1344,4359500
1.845,1.097,97.055,0,0,371.064,0,9353036,6671408,1344,4359860
0,0.100,99.771,0,0,0,0,9352064,6672380,1344,4359860
0.150,0.500,99.076,0,0,60.016,108.028,9354452,6670068,1344,4359768
0.250,0.650,221.581,0.050,0,23.998,51.996,9354252,6670244,1376,4359768
0.050,0,99.926,0.050,0,76.287,0,9354492,6669996,1376,4359768
0.200,0.350,99.403,0,0,0,0,9351684,6672804,1376,4359768
0.150,0.050,99.781,0,0,0,0,9346508,6677988,1376,4359768
0.050,0.250,99.438,0,0,0,0,9348776,6675720,1376,4359768
0,0.100,99.817,0,0,0,19.973,9349528,6674968,1384,4359760
0.902,3.909,95.207,0,0,128.279,80.175,10453132,5571220,1520,4359768
1.000,4.300,94.698,0,0,0,0,11587804,4436552,1520,4359772
5.200,0.800,94.352,0,0,32.001,0,11697724,4326628,1520,4359776
0.188,0.469,99.385,0,0,15.002,11.251,9347868,6676492,1528,4359768
0.053,0.423,99.197,0,0,0,0,9348608,6675744,1528,4359776
0.987,3.305,95.706,0,0,0,0,10588444,5435908,1528,4359776
2.515,3.182,94.334,0.051,0,0,45.166,11585752,4438592,1536,4359776
5.303,0.300,94.859,0,0,44.028,84.053,11627896,4396432,1536,4359776
1.091,0.807,97.941,0,0,0,0,9352960,6671352,1536,4359776
0.452,1.555,97.996,0,0,0,0,10005640,6018672,1536,4359776
2.209,4.312,93.441,0,0,4.207,0,11453324,4570988,1536,4359776
6.753,0.950,92.287,0.050,0,4.002,20.008,11614588,4409724,1544,4359768
1.301,1.001,97.777,0,0,24.019,0,9335208,6689096,1544,4359776
0.299,0.199,99.407,0,0,23.929,0,9333772,6690532,1544,4359776
0,0.144,99.787,0,0,0,0,9333772,6690532,1544,4359776
0,0.363,99.455,0,0,0,0,9335576,6688720,1544,4359776
0.245,0.392,99.296,0,0,145.144,23.537,9336120,6688032,1688,4359776
0.148,0.148,99.559,0,0,11.829,59.144,9337868,6686272,1700,4359776
0.052,0.052,99.886,0,0,0,0,9335468,6688672,1700,4359776
0.249,0.249,99.245,0.050,0,59.876,0,9338380,6685752,1700,4359776
0,0.150,99.907,0,0,0,0,9336872,6687260,1700,4359776
0.150,0.301,99.619,0,0,60.102,52.088,9337180,6686992,1708,4359768
0,0.150,99.642,0,0,27.998,87.993,9333508,6690656,1708,4359776
0.150,0.250,99.495,0,0,39.978,0,9336348,6687816,1708,4359776
0.050,0,99.789,0,0,0,55.966,9336596,6687568,1708,4359776
0.150,0.200,225.482,0,0,0,35.973,9338228,6685928,1716,4359776
0.100,0.299,99.723,0,0,0,0,9338440,6685708,1716,4359776
0.050,0.050,99.810,0,0,0,0,9338692,6685456,1716,4359776
0.145,0.145,99.813,0,0,0,0,9338612,6685544,1716,4359776
0.051,0,99.946,0,0,0,0,9338612,6685544,1716,4359776
0.050,0.201,99.350,0.050,0,0,16.073,9339864,6684284,1724,4359776
0.100,0.100,99.891,0,0,0,0,9336452,6687696,1724,4359776
0.150,0.100,99.762,0,0,0,0,9338064,6686060,1724,4359776
0,0.051,99.785,0,0,0,0,9335996,6688128,1724,4359776
0.397,0.447,99.077,0,0,63.536,0,9335380,6688744,1724,4359776
0.100,0.199,99.741,0,0,0,23.926,9337280,6686828,1732,4359776
0.100,0.251,99.458,0,0,0,0,9335696,6688452,1732,4359776
0.050,0.050,99.899,0,0,0,0,9335948,6688200,1732,4359776
0.049,0.246,99.815,0,0,0,0,9333332,6690808,1732,4359776
0.205,0.256,99.380,0,0,127.043,0,9332676,6691464,1732,4359776
0.149,0.347,99.444,0,0,0,19.809,9336012,6688128,1740,4359768
0.100,0.100,99.805,0,0,0,52.133,9335404,6688744,1740,4359776
0.202,0.050,99.663,0,0,0,0,9332488,6691660,1740,4359776
0.097,0.146,99.701,0,0,0,0,9330472,6693676,1740,4359776
0.309,0.103,99.572,0,0,53.544,0,9335156,6688992,1740,4359776
0.050,0.149,99.748,0.050,0,0,19.831,9337852,6686288,1748,4359776
