"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat_output.csv 1 120",,,,"Date:","20 Jun 2025 01:42:24 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 01:42:24,,,9379056,6305112,10552,496168
20-06 01:42:25,0.532,1.740,93.997,2.996,0,405790.474,0,9800868,5463928,10552,915548
20-06 01:42:26,0.760,1.874,94.181,2.785,0,399150.739,0,10195296,4675776,10552,1309272
20-06 01:42:27,0.189,1.982,94.469,2.642,0,423280.166,0,10643656,3778836,10552,1757860
20-06 01:42:28,0.151,1.910,94.827,2.814,0,408454.423,0,11050148,2965040,10552,2164572
20-06 01:42:29,0.350,1.853,94.277,2.854,0,408615.599,68.092,11458332,2147860,10560,2572636
20-06 01:42:30,0.634,2.323,94.455,2.798,0,410782.793,0,11852400,1364176,10560,2961372
20-06 01:42:31,0.799,2.304,93.156,3.668,0,378638.972,0,12254940,559780,10560,3362468
20-06 01:42:32,0.351,1.556,91.202,6.575,0,279539.626,15455.692,12510620,156656,10408,3511256
20-06 01:42:33,0.626,1.513,94.061,3.600,0,427948.944,15379.435,12901368,155908,10408,3120536
20-06 01:42:34,0.156,1.663,94.160,3.689,0,419588.455,58.201,13304040,153652,10416,2719184
20-06 01:42:35,0.500,1.701,94.066,3.502,0,415669.660,5327.713,13715688,140004,10400,2320272
20-06 01:42:36,0.451,1.452,94.058,3.554,0,440206.470,0,14156056,129556,10400,1889424
20-06 01:42:37,0.621,1.386,94.279,3.584,0,420705.501,0,14599984,141160,10400,1432856
20-06 01:42:38,0.205,1.126,94.182,3.532,0,443436.916,0,15032968,140464,10400,999960
20-06 01:42:39,0.604,1.660,94.157,3.571,0,422744.588,426.523,15452392,138392,10408,581648
20-06 01:42:40,0.305,2.086,93.419,3.613,0,405876.651,65458.198,15789956,153532,10420,233520
20-06 01:42:41,0.350,2.099,91.307,6.047,0,183805.921,138830.983,15844156,171160,9260,167000
20-06 01:42:42,0.049,0.195,83.475,16.169,0,1316.905,99757.527,15840456,173744,9412,167948
20-06 01:42:43,0.301,1.002,90.389,8.067,0,160085.860,80231.323,15844488,198128,8376,141088
20-06 01:42:44,0.248,0.793,94.409,4.659,0,83056.262,31840.414,15897220,158744,7732,128136
20-06 01:42:45,0.143,1.098,90.661,7.973,0,136273.454,95414.334,15909648,167896,5220,116116
20-06 01:42:46,0.316,1.213,91.653,6.697,0,27599.325,63113.100,15878896,187744,5936,126296
20-06 01:42:47,0.048,0.048,93.447,6.121,0,755.674,104710.994,15875936,189544,5936,127176
20-06 01:42:48,0.156,0.260,78.064,21.560,0,295.800,88102.665,15875384,189444,5952,127796
20-06 01:42:49,0.297,0.793,83.133,15.516,0,182942.439,78237.339,15842552,238368,4776,113372
20-06 01:42:51,0.258,1.547,190.178,89.231,0,135875.832,237476.918,15918692,214748,3992,62536
20-06 01:42:51,0.567,1.297,100.121,24.969,0,274333.139,60782.765,15891064,229608,3932,75792
20-06 01:42:52,0.398,1.940,86.047,11.291,0,221294.422,16318.051,15959296,177032,2564,61376
20-06 01:42:53,0.551,0.852,72.896,25.852,0,47816.004,116177.258,15886276,206480,3084,104300
20-06 01:42:56,0.091,0.773,81.349,17.610,0,35073.733,100851.071,15909192,242676,3040,44608,"missed 2 ticks"
20-06 01:42:56,2.319,1.160,93.744,2.685,0,227701.345,375.954,15901956,231708,2260,63692
20-06 01:42:57,5.421,0.207,93.240,1.084,0,19246.827,61.953,15904304,210664,3664,81092
20-06 01:42:58,5.188,0.840,93.233,0.791,0,7336.080,0,15908496,268356,2300,34888
20-06 01:42:59,4.868,0.201,94.754,0.050,0,28.105,0,15962752,213932,2320,35036
20-06 01:43:00,2.897,3.397,91.712,1.598,0,3848.321,158292.661,7524840,8653800,2320,33400
20-06 01:43:01,0.504,1.613,94.532,3.176,0,365200.784,0,7685408,8130804,2600,395548
20-06 01:43:02,0.698,1.546,93.028,4.040,0,412400.084,0,8105492,7297332,3024,808512
20-06 01:43:03,0.489,1.126,94.319,3.720,0,386760.162,70.482,8502792,6505308,3036,1203224
20-06 01:43:04,0.426,1.467,94.199,3.456,0,404141.162,0,8928784,5652268,3036,1630280
20-06 01:43:05,0.161,0.968,94.708,3.765,0,369693.271,0,9270844,4966528,3036,1973960
20-06 01:43:06,0.419,1.024,94.170,3.631,0,388019.123,0,9687384,4132512,3036,2390860
20-06 01:43:07,0.382,1.635,94.629,3.380,0,396341.703,47.968,10055632,3400020,3048,2754260
20-06 01:43:08,0.370,2.036,94.110,2.730,0,395740.919,70.328,10488004,2539268,3060,3181652
20-06 01:43:09,0.201,1.456,94.747,3.213,0,406346.670,0,10893628,1727936,3060,3586448
20-06 01:43:10,0.350,1.550,94.373,3.149,0,405773.436,0,11301492,913292,3060,3992300
20-06 01:43:11,0.250,2.149,94.647,2.698,0,390056.620,9466.676,11686276,199792,2080,4321148
20-06 01:43:12,0.350,1.552,93.842,3.553,0,399636.597,0,12078744,205156,2324,3922112
20-06 01:43:13,0.256,1.384,94.293,3.846,0,413996.987,57.427,12484260,201592,2332,3519240
20-06 01:43:14,0.244,1.412,94.194,3.702,0,395002.496,214.298,12890728,206444,2336,3107004
20-06 01:43:15,0.201,1.203,94.664,3.760,0,396244.471,0,13286748,200320,2336,2716196
20-06 01:43:16,0.250,1.601,93.716,3.903,0,413171.272,15538.954,13682892,202672,2336,2316764
20-06 01:43:17,0.300,1.699,94.024,3.647,0,408274.454,6095.080,14086952,203148,2336,1911348
20-06 01:43:18,0.215,1.292,94.345,3.821,0,373659.340,30801.730,14426004,223632,2604,1550680
20-06 01:43:19,0.325,1.393,94.168,3.668,0,413555.723,0,14872968,209748,2604,1116592
20-06 01:43:20,9.231,3.732,333.994,7.955,0,824623.608,8111.696,15684828,224744,4612,285804
20-06 01:43:21,5.264,0,94.809,0.160,0,12.762,0,15684644,224828,4612,285904
20-06 01:43:22,4.298,1.980,92.429,1.400,0,7.727,176895.778,15772736,244900,4612,177100
20-06 01:43:23,1.867,2.169,95.256,0.757,0,10417.597,147287.306,6920920,9153852,4752,119808
20-06 01:43:24,0.298,0.745,97.428,1.192,0,2714.671,0,6923856,9148560,4752,122164
20-06 01:43:25,0.103,0.052,99.455,0.207,0,8.266,53.732,6925392,9146656,4760,122524
20-06 01:43:26,0.145,0.532,98.919,0.290,0,3.866,0,6926252,9145820,4760,122532
20-06 01:43:27,0,0.050,99.821,0,0,8.014,0,6926504,9145568,4760,122532
20-06 01:43:28,0.050,0,99.677,0.101,0,109.069,0,6927004,9145064,4760,122536
20-06 01:43:29,0.528,4.276,93.237,1.531,0,7226.678,0,6926668,9145388,4764,122528
20-06 01:43:30,0.093,0.047,99.584,0.047,0,249.426,33.505,6928772,9143284,4772,122520
20-06 01:43:31,0.107,0.591,99.050,0,0,167.498,0,6928448,9143360,4772,122768
20-06 01:43:32,0.094,0,99.884,0.140,0,1560.709,0,6930320,9139832,4776,124420
20-06 01:43:33,0.216,0.487,98.993,0,0,12.990,0,6928208,9141944,4776,124420
20-06 01:43:34,0.232,0.186,99.471,0,0,174.609,0,6930924,9139096,4776,124552
20-06 01:43:35,0.109,0.434,99.240,0.054,0,169.381,30.402,6931936,9138100,4784,124544
20-06 01:43:36,0.139,0,99.821,0.046,0,304.712,0,6932180,9137848,4784,124552
20-06 01:43:37,0.109,0.327,99.317,0.055,0,4.361,0,6932936,9137092,4784,124552
20-06 01:43:38,0.046,0.092,99.973,0.046,0,158.264,0,6932804,9137092,4788,124680
20-06 01:43:39,0.310,0.310,99.194,0.052,0,24.799,0,6932980,9136876,4788,124720
20-06 01:43:40,0.147,0.049,99.660,0,0,15.656,31.312,6930340,9139512,4796,124716
20-06 01:43:41,0.414,0.155,99.531,0,0,20.703,0,7059588,9010256,4796,124724
20-06 01:43:42,0.099,0.099,99.305,0.099,0,70.932,0,6928680,9141160,4796,124728
20-06 01:43:43,0.244,0.147,99.736,0,0,19.537,0,6930680,9139160,4796,124728
20-06 01:43:44,0.156,0.208,99.242,0.104,0,183.473,0,6931464,9138360,4796,124728
20-06 01:43:45,0.250,0.399,99.500,0.050,0,19.970,23.964,6927564,9142268,4804,124720
20-06 01:43:46,0.102,0.153,99.394,0,0,12.227,0,6926544,9143280,4804,124728
20-06 01:43:47,0.189,0.095,99.483,0.095,0,1042.203,0,6926528,9142648,4804,125376
