"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250620_161713.csv",,,,"Date:","20 Jun 2025 16:17:13 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
20-06 16:17:13,,,2720888,13267252,11164,211316
20-06 16:17:14,0.250,0.349,99.169,0.200,0,2563.310,0,2719184,13266100,11164,214172
20-06 16:17:15,0.388,0.194,99.256,0,0,3.885,0,2722428,13262856,11164,214172
20-06 16:17:16,0.206,0.155,99.565,0.103,0,4.125,65.998,2724196,13261092,11172,214176
20-06 16:17:17,0.149,2.191,94.825,2.540,0,359332.206,95.622,3342904,12281512,11172,575048
20-06 16:17:18,0.251,1.909,94.707,2.914,0,418016.448,4.019,3759824,11448464,11172,991176
20-06 16:17:19,0.450,2.148,94.268,2.848,0,402865.046,3.997,4205320,10600092,11172,1394052
20-06 16:17:20,0.632,1.944,94.334,2.819,0,417181.516,0,4656720,9719252,11172,1823492
20-06 16:17:21,0.409,1.687,94.591,2.966,0,426841.709,49.085,5076312,8882372,11180,2240772
20-06 16:17:22,0.200,1.752,94.520,2.904,0,436917.455,0,5511360,8010028,11180,2677252
20-06 16:17:23,0.442,2.060,94.532,2.894,0,425986.582,0,5942788,7143696,11180,3111372
20-06 16:17:24,0.303,1.717,94.655,2.879,0,427874.892,0,6370048,6292260,11180,3534780
20-06 16:17:25,0.686,2.205,94.069,2.744,0,449148.522,0,6831524,5370836,11180,3993352
20-06 16:17:26,0.981,1.187,94.725,2.323,0,368988.486,24.778,7186316,4658100,11188,4350472
20-06 16:17:27,5.071,0.251,94.595,0,0,0,0,7225448,4618944,11188,4350496
20-06 16:17:28,2.625,1.585,95.902,0,0,396.291,0,2720828,9123184,11188,4350860
20-06 16:17:29,0.199,0.596,99.011,0,0,7.953,15.905,2717492,9126528,11188,4350860
20-06 16:17:30,0.391,0.244,99.287,0,0,0,0,2720200,9123804,11188,4350860
