"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250621_163915.csv",,,,"Date:","21 Jun 2025 16:39:15 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","used","free","buf","cach"
21-06 16:39:15,,,7032776,5419084,16916,3719604
21-06 16:39:16,0,0.100,99.715,0,0,0,0,7035040,5416816,16916,3719608
21-06 16:39:17,0.100,0.250,99.673,0,0,0,0,7035860,5415996,16916,3719608
21-06 16:39:18,0.874,4.127,94.815,0,0,0,0,8385264,4066600,16916,3719608
21-06 16:39:19,1.709,4.172,94.250,0.050,0,0,44.235,9565908,2885948,16924,3719608
21-06 16:39:20,2.701,2.497,94.878,0,0,0,0,10320584,2131272,16924,3719608
21-06 16:39:21,4.375,0.805,94.648,0,0,0,0,10454924,1996932,16924,3719608
21-06 16:39:22,0.050,0.650,98.796,0,0,0,4.000,7042540,5409316,16924,3719608
21-06 16:39:23,0.149,0.248,99.771,0,0,0,0,7043932,5407924,16924,3719608
