code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,5,16,16384,5.775,2837.06,0.677,0.732,0.725,0.007,4.366
RS,128,4,14,4,16,16384,5.318,3080.86,0.674,0.725,0.716,0.009,3.919
RS,128,4,16,4,16,16384,4.735,3460.19,0.678,0.883,0.873,0.01,3.174
RS,128,4,18,3,16,16384,6.365,2574.08,0.889,1.105,1.093,0.012,4.371
RS,128,4,20,3,16,16384,6.049,2708.55,0.954,1.046,1.035,0.011,4.049
RS,128,4,22,2,16,16384,5.069,3232.2,-0.632,1.327,1.313,0.014,4.374
RS,128,4,24,2,16,16384,7.065,2319.04,1.113,1.433,1.417,0.016,4.519
RS,128,4,26,2,16,16384,6.316,2594.05,1.067,1.38,1.366,0.014,3.869
RS,128,4,28,2,16,16384,6.495,2522.56,1.095,1.465,1.448,0.017,3.935
RS,128,4,30,2,16,16384,4.95,3309.9,1.169,1.461,1.443,0.018,2.32
RS,128,4,32,2,16,16384,5.978,2740.72,1.159,1.581,1.568,0.013,3.238
RS,128,4,34,1,16,16384,10.774,1520.7,2.381,2.298,2.271,0.027,6.095
RS,128,4,36,1,16,16384,10.69,1532.65,2.323,2.352,2.328,0.024,6.015
RS,128,4,38,1,16,16384,9.024,1815.6,2.321,2.427,2.401,0.026,4.276
RS,128,4,4,16,16,16384,17.406,941.285,0.94,9.715,9.711,0.004,6.751
RS,128,4,40,1,16,16384,10.722,1528.07,2.356,2.468,2.44,0.028,5.898
RS,128,4,42,1,16,16384,11.164,1467.57,2.57,2.595,2.568,0.027,5.999
RS,128,4,44,1,16,16384,8.141,2012.53,0.836,2.598,2.572,0.026,4.707
RS,128,4,46,1,16,16384,10.303,1590.22,2.674,2.688,2.662,0.026,4.941
RS,128,4,48,1,16,16384,10.348,1583.3,2.878,2.726,2.7,0.026,4.744
RS,128,4,50,1,16,16384,8.907,1839.45,3.084,2.79,2.766,0.024,3.033
RS,128,4,52,1,16,16384,11.002,1489.18,3.306,2.837,2.812,0.025,4.859
RS,128,4,54,1,16,16384,11.915,1375.07,3.668,3.248,3.221,0.027,4.999
RS,128,4,56,1,16,16384,10.29,1592.23,3.756,1.559,1.529,0.03,4.975
RS,128,4,58,1,16,16384,12.559,1304.56,4.128,3.393,3.366,0.027,5.038
RS,128,4,6,10,16,16384,5.97,2744.39,0.8,0.526,0.523,0.003,4.644
RS,128,4,60,1,16,16384,13.097,1250.97,4.782,3.368,3.34,0.028,4.947
RS,128,4,62,1,16,16384,11.897,1377.15,5.133,1.74,1.714,0.026,5.024
RS,128,4,64,1,16,16384,12.793,1280.7,5.433,3.613,3.588,0.025,3.747
RS,128,4,8,8,16,16384,4.73,3463.85,0.629,0.483,0.48,0.003,3.618
