code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,21,16,65536,13.385,4896.23,2.488,2.944,2.919,0.025,7.953
RS,128,4,14,18,16,65536,13.812,4744.86,3.533,3.392,3.375,0.017,6.887
RS,128,4,16,16,16,65536,8.89,7371.88,3.477,3.302,3.295,0.007,2.111
RS,128,4,18,14,16,65536,11.849,5530.93,2.792,3.151,3.135,0.016,5.906
RS,128,4,20,12,16,65536,11.697,5602.8,2.821,2.925,2.906,0.019,5.951
RS,128,4,22,11,16,65536,10.589,6189.06,2.591,2.411,2.394,0.017,5.587
RS,128,4,24,10,16,65536,12.224,5361.26,2.739,3.278,3.242,0.036,6.207
RS,128,4,26,9,16,65536,11.023,5945.39,2.456,3.315,3.274,0.041,5.252
RS,128,4,28,9,16,65536,8.553,7662.34,2.309,3.361,3.339,0.022,2.883
RS,128,4,30,8,16,65536,11.467,5715.18,2.375,3.579,3.547,0.032,5.513
RS,128,4,32,8,16,65536,11.026,5943.77,2.882,3.597,3.569,0.028,4.547
RS,128,4,34,7,16,65536,9.305,7043.1,2.551,1.598,1.554,0.044,5.156
RS,128,4,36,7,16,65536,11.743,5580.86,2.641,3.73,3.698,0.032,5.372
RS,128,4,38,6,16,65536,9.934,6597.14,2.852,3.776,3.748,0.028,3.306
RS,128,4,4,64,16,65536,26.228,2498.7,4.985,8.731,8.726,0.005,12.512
RS,128,4,40,6,16,65536,11.942,5487.86,2.432,3.717,3.68,0.037,5.793
RS,128,4,42,6,16,65536,12.839,5104.45,2.638,3.994,3.955,0.039,6.207
RS,128,4,44,5,16,65536,10.355,6328.92,2.668,4.396,4.356,0.04,3.291
RS,128,4,46,5,16,65536,12.549,5222.41,2.842,4.206,4.172,0.034,5.501
RS,128,4,48,5,16,65536,10.758,6091.84,3.123,4.167,4.137,0.03,3.468
RS,128,4,50,5,16,65536,13.351,4908.7,3.375,4.298,4.265,0.033,5.678
RS,128,4,52,4,16,65536,14.538,4507.91,3.621,4.387,4.34,0.047,6.53
RS,128,4,54,4,16,65536,12.674,5170.9,1.655,4.682,4.649,0.033,6.337
RS,128,4,56,4,16,65536,15.657,4185.73,4.465,4.824,4.782,0.042,6.368
RS,128,4,58,4,16,65536,13.508,4851.64,4.806,2.25,2.216,0.034,6.452
RS,128,4,6,42,16,65536,14.378,4558.07,2.737,2.72,2.716,0.004,8.921
RS,128,4,60,4,16,65536,17.043,3845.33,5.565,4.919,4.878,0.041,6.559
RS,128,4,62,4,16,65536,16.612,3945.1,5.358,4.921,4.886,0.035,6.333
RS,128,4,64,4,16,65536,16.123,4064.75,6.261,4.859,4.82,0.039,5.003
RS,128,4,8,32,16,65536,14.742,4445.53,2.872,2.971,2.968,0.003,8.899
