code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,21,16,128,65536,15.521,4222.41,1.992,3.742,3.723,0.019,9.787
RS,128,4,14,18,16,128,65536,14.364,4562.52,1.973,3.798,3.762,0.036,8.593
RS,128,4,16,16,16,128,65536,11.97,5475.02,3.225,4.278,4.258,0.02,4.467
RS,128,4,18,14,16,128,65536,14.681,4464,2.531,3.86,3.838,0.022,8.29
RS,128,4,20,12,16,128,65536,13.461,4868.58,2.06,3.884,3.856,0.028,7.517
RS,128,4,22,11,16,128,65536,10.924,5999.27,0.532,3.987,3.949,0.038,6.405
RS,128,4,24,10,16,128,65536,13.42,4883.46,1.479,4.019,3.986,0.033,7.922
RS,128,4,26,9,16,128,65536,10.233,6404.38,1.656,1.704,1.672,0.032,6.873
RS,128,4,28,9,16,128,65536,11.487,5705.23,1.528,3.361,3.333,0.028,6.598
RS,128,4,30,8,16,128,65536,11.037,5937.85,1.051,3.104,3.083,0.021,6.882
RS,128,4,32,8,16,128,65536,8.493,7716.47,1.212,3.434,3.412,0.022,3.847
RS,128,4,34,7,16,128,65536,11.672,5614.8,1.064,3.61,3.588,0.022,6.998
RS,128,4,36,7,16,128,65536,11.278,5810.96,1.164,3.678,3.654,0.024,6.436
RS,128,4,38,6,16,128,65536,10.481,6252.84,1.123,2.049,2.007,0.042,7.309
RS,128,4,4,64,16,128,65536,28.543,2296.04,2.883,11.313,11.306,0.007,14.347
RS,128,4,40,6,16,128,65536,14.037,4668.8,1.918,4.469,4.434,0.035,7.65
RS,128,4,42,6,16,128,65536,13.265,4940.52,2.347,4.981,4.946,0.035,5.937
RS,128,4,44,5,16,128,65536,14.641,4476.2,1.763,5.288,5.245,0.043,7.59
RS,128,4,46,5,16,128,65536,12.373,5296.69,1.888,4.505,4.474,0.031,5.98
RS,128,4,48,5,16,128,65536,13.641,4804.34,2.129,4.85,4.796,0.054,6.662
RS,128,4,50,5,16,128,65536,13.813,4744.52,2.074,4.796,4.766,0.03,6.943
RS,128,4,52,4,16,128,65536,13.146,4985.24,2.28,3.11,3.065,0.045,7.756
RS,128,4,54,4,16,128,65536,15.19,4314.42,2.421,5.135,5.099,0.036,7.634
RS,128,4,56,4,16,128,65536,13.613,4814.22,0.68,5.026,4.991,0.035,7.907
RS,128,4,58,4,16,128,65536,16.056,4081.71,2.977,5.156,5.12,0.036,7.923
RS,128,4,6,42,16,128,65536,18.326,3576.12,2.162,2.96,2.957,0.003,13.204
RS,128,4,60,4,16,128,65536,14.857,4411.12,2.384,5.288,5.25,0.038,7.185
RS,128,4,62,4,16,128,65536,16.579,3952.95,4.147,5.228,5.192,0.036,7.204
RS,128,4,64,4,16,128,65536,14.442,4537.88,2.321,5.565,5.529,0.036,6.556
RS,128,4,8,32,16,128,65536,16.897,3878.56,2.804,3.272,3.266,0.006,10.821
