code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,16,4,32,64,32768,63.163,518.785,1.187,58.276,58.26,0.016,3.7
RS,128,4,20,3,32,64,32768,65.929,497.02,-0.138,58.524,58.501,0.023,7.543
RS,128,4,24,2,32,64,32768,67.097,488.368,2.314,56.185,56.15,0.035,8.598
RS,128,4,28,2,32,64,32768,64.715,506.343,2.332,55.058,55.025,0.033,7.325
RS,128,4,32,2,32,64,32768,65.222,502.407,2.509,56.466,56.433,0.033,6.247
RS,128,4,36,1,32,64,32768,83.524,392.318,2.792,68.904,68.836,0.068,11.828
RS,128,4,40,1,32,64,32768,85.566,382.956,5.184,68.34,68.273,0.067,12.042
RS,128,4,44,1,32,64,32768,80.695,406.072,5.106,68.081,68.014,0.067,7.508
RS,128,4,48,1,32,64,32768,81.971,399.751,5.027,67.484,67.418,0.066,9.46
RS,128,4,52,1,32,64,32768,81.289,403.105,5.104,68.662,68.594,0.068,7.523
RS,128,4,56,1,32,64,32768,83.639,391.779,5.663,68.26,68.193,0.067,9.716
RS,128,4,60,1,32,64,32768,80.773,405.68,5.461,67.957,67.895,0.062,7.355
RS,128,4,64,1,32,64,32768,79.692,411.183,4.505,68.119,68.062,0.057,7.068
RS,128,4,8,8,32,64,32768,63.242,518.137,0.846,56.269,56.261,0.008,6.127
