code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,4096,10.396,393.998,1.427,8.354,8.346,0.008,0.615
RS,16,4,16,1,32,64,4096,13.579,301.642,0.607,9.124,9.066,0.058,3.848
RS,32,4,32,1,32,64,4096,12.117,338.037,0.866,9.28,9.248,0.032,1.971
RS,4,4,4,1,32,64,4096,22.486,182.158,0.533,7.731,7.518,0.213,14.222
RS,64,4,64,1,32,64,4096,11.201,365.682,0.873,9.259,9.245,0.014,1.069
RS,8,4,8,1,32,64,4096,15.471,264.753,0.519,8.889,8.78,0.109,6.063
RS,128,4,128,1,32,64,4096,10.396,393.998,1.427,8.354,8.346,0.008,0.615
RS,16,4,16,1,32,64,4096,13.579,301.642,0.607,9.124,9.066,0.058,3.848
RS,32,4,32,1,32,64,4096,12.117,338.037,0.866,9.28,9.248,0.032,1.971
RS,4,4,4,1,32,64,4096,22.486,182.158,0.533,7.731,7.518,0.213,14.222
RS,64,4,64,1,32,64,4096,11.201,365.682,0.873,9.259,9.245,0.014,1.069
RS,8,4,8,1,32,64,4096,15.471,264.753,0.519,8.889,8.78,0.109,6.063
