code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,4096,60.99,67.1586,50.524,9.784,9.775,0.009,0.682
RS,16,4,16,1,32,64,4096,60.816,67.3507,51.08,5.723,5.664,0.059,4.013
RS,32,4,32,1,32,64,4096,55.943,73.2174,43.913,9.779,9.75,0.029,2.251
RS,4,4,4,1,32,64,4096,72.501,56.4958,49.63,9.096,8.856,0.24,13.775
RS,64,4,64,1,32,64,4096,54.272,75.4717,43.19,9.859,9.842,0.017,1.223
RS,8,4,8,1,32,64,4096,70.246,58.3094,53.268,9.243,9.124,0.119,7.735
RS,128,4,128,1,32,64,4096,60.99,67.1586,50.524,9.784,9.775,0.009,0.682
RS,16,4,16,1,32,64,4096,60.816,67.3507,51.08,5.723,5.664,0.059,4.013
RS,32,4,32,1,32,64,4096,55.943,73.2174,43.913,9.779,9.75,0.029,2.251
RS,4,4,4,1,32,64,4096,72.501,56.4958,49.63,9.096,8.856,0.24,13.775
RS,64,4,64,1,32,64,4096,54.272,75.4717,43.19,9.859,9.842,0.017,1.223
RS,8,4,8,1,32,64,4096,70.246,58.3094,53.268,9.243,9.124,0.119,7.735
