code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,32,4,32,1,1,64,64,0.961,66.5973,0.739,0.16,0.16,0,0.062
RS,32,4,32,1,128,64,8192,114.949,71.2664,92.159,18.501,18.436,0.065,4.289
RS,32,4,32,1,16,64,1024,14.84,69.0027,11.721,2.559,2.553,0.006,0.56
RS,32,4,32,1,2,64,128,1.925,66.4935,1.503,0.325,0.325,0,0.097
RS,32,4,32,1,32,64,2048,28.134,72.7945,22.13,4.977,4.962,0.015,1.027
RS,32,4,32,1,4,64,256,1.573,162.746,0.845,0.573,0.571,0.002,0.155
RS,32,4,32,1,64,64,4096,56.356,72.6808,44.244,9.976,9.943,0.033,2.136
RS,32,4,32,1,8,64,512,7.402,69.1705,5.857,1.248,1.246,0.002,0.297
RS,32,4,32,1,1,64,64,0.961,66.5973,0.739,0.16,0.16,0,0.062
RS,32,4,32,1,128,64,8192,114.949,71.2664,92.159,18.501,18.436,0.065,4.289
RS,32,4,32,1,16,64,1024,14.84,69.0027,11.721,2.559,2.553,0.006,0.56
RS,32,4,32,1,2,64,128,1.925,66.4935,1.503,0.325,0.325,0,0.097
RS,32,4,32,1,32,64,2048,28.134,72.7945,22.13,4.977,4.962,0.015,1.027
RS,32,4,32,1,4,64,256,1.573,162.746,0.845,0.573,0.571,0.002,0.155
RS,32,4,32,1,64,64,4096,56.356,72.6808,44.244,9.976,9.943,0.033,2.136
RS,32,4,32,1,8,64,512,7.402,69.1705,5.857,1.248,1.246,0.002,0.297
