code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,32,4,32,1,128,64,8192,104.538,78.3638,83.242,19.672,19.622,0.05,1.624,0
RS,32,4,32,1,128,64,8192,22.169,369.525,1.605,16.735,16.684,0.051,3.829,1
RS,32,4,32,1,16,64,1024,14.872,68.8542,11.907,2.424,2.418,0.006,0.541,0
RS,32,4,32,1,16,64,1024,0.819,1250.31,0.156,0.096,0.086,0.01,0.567,1
RS,32,4,32,1,1,64,64,0.926,69.1145,0.71,0.146,0.146,0,0.07,0
RS,32,4,32,1,1,64,64,0.225,284.444,0.008,0.152,0.152,0,0.065,1
RS,32,4,32,1,2,64,128,1.942,65.9114,1.53,0.306,0.306,0,0.106,0
RS,32,4,32,1,2,64,128,0.463,276.458,0.017,0.337,0.337,0,0.109,1
RS,32,4,32,1,32,64,2048,32.269,63.4665,26.89,4.37,4.357,0.013,1.009,0
RS,32,4,32,1,32,64,2048,4.233,483.818,0.383,2.837,2.825,0.012,1.013,1
RS,32,4,32,1,4,64,256,3.861,66.3041,3.062,0.639,0.637,0.002,0.16,0
RS,32,4,32,1,4,64,256,0.838,305.489,0.033,0.642,0.64,0.002,0.163,1
RS,32,4,32,1,64,64,4096,62.413,65.6274,51.047,9.305,9.28,0.025,2.061,0
RS,32,4,32,1,64,64,4096,10.223,400.665,0.867,7.107,7.078,0.029,2.249,1
RS,32,4,32,1,8,64,512,7.777,65.8352,6.222,1.27,1.266,0.004,0.285,0
RS,32,4,32,1,8,64,512,1.576,324.873,0.071,1.212,1.208,0.004,0.293,1
