code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,128,4,128,1,32,64,4096,11.83,346.238,1.463,9.687,9.676,0.011,0.68,1
RS,16,4,16,1,32,64,4096,14.256,287.318,0.567,9.723,9.66,0.063,3.966,1
RS,32,4,32,1,32,64,4096,12.737,321.583,0.595,9.988,9.958,0.03,2.154,1
RS,4,4,4,1,32,64,4096,24.498,167.197,0.562,8.397,8.149,0.248,15.539,1
RS,64,4,64,1,32,64,4096,12.175,336.427,0.704,10.259,10.244,0.015,1.212,1
RS,8,4,8,1,32,64,4096,15.996,256.064,0.527,7.858,7.738,0.12,7.611,1
RS,128,4,128,1,32,64,4096,11.83,346.238,1.463,9.687,9.676,0.011,0.68,1
RS,16,4,16,1,32,64,4096,14.256,287.318,0.567,9.723,9.66,0.063,3.966,1
RS,32,4,32,1,32,64,4096,12.737,321.583,0.595,9.988,9.958,0.03,2.154,1
RS,4,4,4,1,32,64,4096,24.498,167.197,0.562,8.397,8.149,0.248,15.539,1
RS,64,4,64,1,32,64,4096,12.175,336.427,0.704,10.259,10.244,0.015,1.212,1
RS,8,4,8,1,32,64,4096,15.996,256.064,0.527,7.858,7.738,0.12,7.611,1
