k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,95.261,88.162,6.893,0.206,0
128,4,32,4096,8.772,2.312,6.271,0.189,1
16,4,32,512,10.13,8.967,1.128,0.035,0
16,4,32,512,1.314,0.119,1.155,0.04,1
32,4,32,1024,18.749,16.473,2.216,0.06,0
32,4,32,1024,2.466,0.197,2.206,0.063,1
4,4,32,128,2.368,2.052,0.299,0.017,0
4,4,32,128,0.358,0.057,0.285,0.016,1
64,4,32,2048,38.669,34.181,4.382,0.106,0
64,4,32,2048,2.644,0.669,1.867,0.108,1
8,4,32,256,5.341,4.75,0.565,0.026,0
8,4,32,256,0.675,0.079,0.568,0.028,1
