code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,4,4,4,1,32,64,4096,37.933,107.98,0.745,14.077,13.728,0.349,23.111,1
RS,8,4,8,1,32,64,4096,38.06,107.62,0.784,25.618,25.446,0.172,11.658,1
RS,16,4,16,1,32,64,4096,41.376,98.9946,0.866,34.142,34.051,0.091,6.368,1
RS,32,4,32,1,32,64,4096,40.03,102.323,1.041,35.852,35.809,0.043,3.137,1
RS,64,4,64,1,32,64,4096,40.481,101.183,2.531,36.285,36.264,0.021,1.665,1
RS,68,4,68,1,32,64,2176,21.759,100.005,1.23,19.697,19.686,0.011,0.832,1
RS,72,4,72,1,32,64,2304,23.035,100.022,1.337,20.849,20.838,0.011,0.849,1
RS,76,4,76,1,32,64,2432,24.766,98.1991,1.909,22.001,21.99,0.011,0.856,1
RS,80,4,80,1,32,64,2560,25.5,100.392,1.465,23.177,23.166,0.011,0.858,1
RS,84,4,84,1,32,64,2688,27.048,99.3789,1.846,24.335,24.323,0.012,0.867,1
RS,88,4,88,1,32,64,2816,28.305,99.4877,1.926,25.51,25.499,0.011,0.869,1
RS,92,4,92,1,32,64,2944,29.676,99.2047,2.143,26.661,26.65,0.011,0.872,1
RS,96,4,96,1,32,64,3072,30.729,99.9707,2.019,27.821,27.81,0.011,0.889,1
RS,100,4,100,1,32,64,3200,31.949,100.16,2.079,28.981,28.97,0.011,0.889,1
RS,104,4,104,1,32,64,3328,33.217,100.19,2.175,30.136,30.125,0.011,0.906,1
RS,108,4,108,1,32,64,3456,34.341,100.638,2.141,31.288,31.277,0.011,0.912,1
RS,112,4,112,1,32,64,3584,35.765,100.21,2.387,32.458,32.447,0.011,0.92,1
RS,116,4,116,1,32,64,3712,36.786,100.908,2.238,33.629,33.618,0.011,0.919,1
RS,120,4,120,1,32,64,3840,38.077,100.848,2.357,34.797,34.786,0.011,0.923,1
RS,124,4,124,1,32,64,3968,39.541,100.352,2.643,35.961,35.95,0.011,0.937,1
RS,128,4,128,1,32,64,4096,40.512,101.106,2.46,37.112,37.101,0.011,0.94,1
