k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
4,4,32,256,9.208,7.863,1.316,0.029,0
4,4,32,256,2.394,0.13,2.24,0.024,1
8,4,32,512,20.039,16.424,3.569,0.046,0
8,4,32,512,4.786,0.193,4.549,0.044,1
16,4,32,1024,9.478,0.281,9.125,0.072,1
16,4,32,1024,41.276,32.99,8.212,0.074,0
32,4,32,2048,18.918,0.496,18.288,0.134,1
32,4,32,2048,82.795,65.155,17.508,0.132,0
64,4,32,4096,37.884,1.23,36.412,0.242,1
64,4,32,4096,198.596,162.273,36.079,0.244,0
128,4,32,8192,79.184,5.176,73.51,0.498,1
128,4,32,8192,384.845,310.703,73.58,0.562,0
