k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
100,4,32,3200,31.314,2.092,29.027,0.195,1
104,4,32,3328,32.538,2.147,30.198,0.193,1
108,4,32,3456,33.716,2.16,31.353,0.203,1
112,4,32,3584,34.908,2.18,32.512,0.216,1
116,4,32,3712,36.354,2.462,33.68,0.212,1
120,4,32,3840,37.633,2.574,34.836,0.223,1
124,4,32,3968,38.788,2.562,35.994,0.232,1
128,4,32,4096,39.971,2.575,37.165,0.231,1
16,4,32,512,4.834,0.142,4.653,0.039,1
32,4,32,1024,9.622,0.257,9.293,0.072,1
4,4,32,128,0.818,0.067,0.738,0.013,1
64,4,32,2048,19.624,0.91,18.582,0.132,1
68,4,32,2176,20.802,0.917,19.755,0.13,1
72,4,32,2304,22.409,1.357,20.912,0.14,1
76,4,32,2432,24.078,1.864,22.066,0.148,1
80,4,32,2560,25.433,2.054,23.219,0.16,1
84,4,32,2688,26.443,1.889,24.392,0.162,1
88,4,32,2816,27.623,1.893,25.563,0.167,1
8,4,32,256,2.442,0.091,2.327,0.024,1
92,4,32,2944,29.031,2.139,26.71,0.182,1
96,4,32,3072,30.229,2.167,27.874,0.188,1
100,4,32,3200,31.314,2.092,29.027,0.195,1
104,4,32,3328,32.538,2.147,30.198,0.193,1
108,4,32,3456,33.716,2.16,31.353,0.203,1
112,4,32,3584,34.908,2.18,32.512,0.216,1
116,4,32,3712,36.354,2.462,33.68,0.212,1
120,4,32,3840,37.633,2.574,34.836,0.223,1
124,4,32,3968,38.788,2.562,35.994,0.232,1
128,4,32,4096,39.971,2.575,37.165,0.231,1
16,4,32,512,4.834,0.142,4.653,0.039,1
32,4,32,1024,9.622,0.257,9.293,0.072,1
4,4,32,128,0.818,0.067,0.738,0.013,1
64,4,32,2048,19.624,0.91,18.582,0.132,1
68,4,32,2176,20.802,0.917,19.755,0.13,1
72,4,32,2304,22.409,1.357,20.912,0.14,1
76,4,32,2432,24.078,1.864,22.066,0.148,1
80,4,32,2560,25.433,2.054,23.219,0.16,1
84,4,32,2688,26.443,1.889,24.392,0.162,1
88,4,32,2816,27.623,1.893,25.563,0.167,1
8,4,32,256,2.442,0.091,2.327,0.024,1
92,4,32,2944,29.031,2.139,26.71,0.182,1
96,4,32,3072,30.229,2.167,27.874,0.188,1
