timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 311052
1753379238.710859798,311052,1,3497.363
1753379239.220677183,311052,1,3499.954
1753379239.730239781,311052,1,3499.899
1753379240.240320197,311052,2,3498.063
1753379240.749989989,311052,2,3499.526
1753379241.259898271,311052,2,3499.574
1753379241.769740191,311052,1,3500.349
1753379242.279604014,311052,1,3501.596
1753379242.789446549,311052,1,3500.382
1753379243.299317471,311052,2,3498.410
1753379243.809233442,311052,2,3500.278
1753379244.319304114,311052,3,3507.890
1753379244.829509670,311052,3,3499.916
1753379245.339421023,311052,0,3499.214
1753379245.849393689,311052,0,3498.716
1753379246.359316412,311052,0,3491.166
1753379246.869213973,311052,0,3492.098
1753379247.379188973,311052,1,3502.906
1753379247.889343718,311052,1,3498.930
1753379248.399195275,311052,1,3499.337
1753379248.909181838,311052,1,3500.354
1753379249.419113498,311052,1,3497.928
1753379249.929037311,311052,1,3498.721
1753379250.439086244,311052,3,3498.735
1753379250.949221677,311052,3,3499.997
1753379251.459646083,311052,2,3499.857
1753379251.969649128,311052,3,3499.838
1753379252.479918945,311052,3,3499.962
1753379252.990278998,311052,1,3499.392
1753379253.500211138,311052,2,3497.424
1753379254.010211882,311052,2,3498.515
1753379254.520094118,311052,2,3493.150
1753379255.030074383,311052,2,3496.851
1753379255.539993934,311052,2,3497.812
1753379256.049973043,311052,2,3498.453
1753379256.559895376,311052,2,3498.527
1753379257.069877941,311052,2,3499.428
1753379257.579832660,311052,2,3498.121
1753379258.089630572,311052,2,3499.335
1753379258.599485398,311052,2,3497.570
1753379259.109468590,311052,2,3499.424
1753379259.619418198,311052,2,3499.961
1753379260.129443591,311052,2,3500.034
1753379260.639382733,311052,2,3499.551
1753379261.149260749,311052,2,3499.884
1753379261.659089944,311052,2,3500.661
1753379262.169090984,311052,2,3499.610
1753379262.679055813,311052,2,3499.512
1753379263.189000281,311052,2,3500.466
1753379263.698814551,311052,2,3500.311
1753379264.208561348,311052,2,3498.938
1753379264.718452603,311052,2,3500.233
1753379265.228397794,311052,2,3500.337
1753379265.738275010,311052,2,3499.796
1753379266.248333732,311052,2,3499.550
1753379266.758200002,311052,2,3502.460
1753379267.268081631,311052,2,3490.015
1753379267.778129818,311052,2,3500.144
1753379268.288076537,311052,2,3500.414
1753379268.798042140,311052,2,3505.465
1753379269.307972519,311052,2,3498.937
1753379269.817796454,311052,2,3499.772
1753379270.327858635,311052,2,3499.942
1753379270.837830663,311052,2,3499.611
1753379271.347750764,311052,2,3499.788
1753379271.857712540,311052,2,3499.997
1753379272.367555446,311052,2,3499.603
1753379272.877311656,311052,2,3495.927
1753379273.387227700,311052,2,3499.279
1753379273.897781314,311052,2,3499.437
1753379274.407819311,311052,2,3500.592
1753379274.917751667,311052,2,3499.857
1753379275.427680547,311052,2,3499.539
1753379275.938111728,311052,2,3499.721
