timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 865082
1753479392.800470667,865082,0,3498.219
1753479393.310632895,865082,1,3499.825
1753479393.820767024,865082,1,3499.911
1753479394.331070620,865082,1,3500.063
1753479394.841265210,865082,1,3500.145
1753479395.351565618,865082,1,3498.825
1753479395.861829222,865082,1,3498.720
1753479396.371977445,865082,1,3500.271
1753479396.882154775,865082,1,3500.447
1753479397.392396855,865082,1,3499.802
1753479397.902454263,865082,0,3500.034
1753479398.412842961,865082,0,3499.067
1753479398.923027413,865082,1,3500.491
1753479399.433215079,865082,1,3501.827
1753479399.943530237,865082,1,3498.963
1753479400.453830994,865082,1,3498.740
1753479400.964056907,865082,1,3499.172
1753479401.474212231,865082,1,3499.940
1753479401.984395851,865082,1,3500.125
1753479402.494607096,865082,1,3500.613
1753479403.004945792,865082,1,3500.051
1753479403.515124129,865082,1,3500.739
1753479404.025373353,865082,1,3499.640
1753479404.535623640,865082,0,3499.729
1753479405.045976477,865082,0,3500.082
1753479405.556081348,865082,1,3499.895
1753479406.066255185,865082,1,3499.857
1753479406.576636566,865082,1,3499.575
1753479407.087109927,865082,0,3501.186
1753479407.598088924,865082,1,3500.292
1753479408.108424716,865082,1,3499.058
1753479408.618672764,865082,1,3499.304
1753479409.128990239,865082,0,3498.247
1753479409.639303523,865082,0,3503.665
1753479410.149620008,865082,0,3499.503
1753479410.659800548,865082,2,3498.633
1753479411.170050525,865082,2,3498.888
1753479411.680332002,865082,3,3499.700
1753479412.190561636,865082,2,3499.425
1753479412.700815953,865082,2,3497.992
1753479413.211071274,865082,2,3498.245
1753479413.721296755,865082,2,3499.633
1753479414.231606093,865082,2,3499.530
1753479414.741864163,865082,2,3497.966
1753479415.252008992,865082,2,3498.838
1753479415.762176314,865082,2,3493.562
1753479416.272556486,865082,2,3499.621
1753479416.782792599,865082,2,3500.354
1753479417.293126249,865082,2,3499.006
1753479417.803483756,865082,2,3499.997
1753479418.313814086,865082,2,3499.699
1753479418.824006926,865082,2,3500.690
1753479419.334266002,865082,2,3499.489
1753479419.844554297,865082,2,3502.765
1753479420.354773883,865082,2,3497.591
1753479420.864912572,865082,2,3504.892
1753479421.375117274,865082,2,3494.382
1753479421.887340860,865082,2,3499.239
1753479422.397615140,865082,2,3499.938
1753479422.907782456,865082,2,3498.223
1753479423.417942708,865082,2,3499.899
1753479423.928077095,865082,3,3497.657
1753479424.438330039,865082,1,3493.362
1753479424.949990508,865082,1,3499.863
1753479425.460341396,865082,2,3497.379
1753479425.970684171,865082,1,3500.196
1753479426.481070937,865082,1,3499.494
1753479426.991054769,865082,2,3501.345
1753479427.501195755,865082,1,3501.686
1753479428.011429219,865082,1,3500.478
1753479428.521399909,865082,0,3489.286
1753479429.031556635,865082,1,3498.650
1753479429.541892981,865082,1,3496.646
1753479430.052477621,865082,1,3500.174
1753479430.562804391,865082,1,3499.616
1753479431.073232623,865082,1,3500.032
1753479431.584232374,865082,1,3498.878
1753479432.095143360,865082,1,3500.067
1753479432.605937955,865082,1,3500.068
1753479433.116584970,865082,1,3499.892
1753479433.627375904,865082,1,3499.478
1753479434.138449847,865082,1,3499.507
1753479434.649642207,865082,1,3500.173
1753479435.160358294,865082,1,3499.822
1753479435.671548383,865082,1,3499.856
1753479436.182487356,865082,1,3500.382
1753479436.693371182,865082,1,3498.717
1753479437.204433827,865082,1,3499.263
1753479437.715279425,865082,1,3499.859
1753479438.225927737,865082,0,3499.892
1753479438.736687506,865082,0,3499.507
1753479439.247672619,865082,1,3500.102
1753479439.758898511,865082,1,3499.682
1753479440.269930289,865082,1,3499.583
1753479440.781071753,865082,1,3499.787
1753479441.292003562,865082,0,3500.662
1753479441.802784106,865082,1,3499.612
1753479442.313377815,865082,0,3499.927
1753479442.824058688,865082,0,3499.618
1753479443.334949966,865082,1,3500.068
1753479443.845543849,865082,1,3500.067
1753479444.356361977,865082,1,3500.207
1753479444.867505156,865082,1,3500.207
1753479445.378229573,865082,1,3499.752
1753479445.888916429,865082,1,3500.067
1753479446.399850796,865082,0,3499.822
1753479446.910553538,865082,0,3500.528
1753479447.420908592,865082,0,3499.857
1753479447.931277957,865082,0,3499.403
1753479448.441588690,865082,0,3499.927
1753479448.952570912,865082,1,3500.244
1753479449.463651034,865082,1,3501.055
1753479449.974137172,865082,0,3499.548
1753479450.484801610,865082,0,3500.032
1753479450.995635621,865082,1,3500.627
1753479451.506655582,865082,1,3500.137
1753479452.017403403,865082,1,3500.032
1753479452.528281163,865082,0,3499.444
1753479453.038998625,865082,1,3500.382
1753479453.549713534,865082,0,3499.717
1753479454.060199484,865082,1,3499.368
1753479454.570783432,865082,0,3500.101
1753479455.081537305,865082,1,3500.067
1753479455.592206551,865082,1,3500.773
1753479456.102598453,865082,1,3499.680
1753479456.613363097,865082,1,3500.417
1753479457.123719515,865082,1,3499.752
1753479457.634594017,865082,1,3499.682
1753479458.145510989,865082,1,3499.962
1753479458.656067169,865082,0,3499.263
1753479459.166798553,865082,0,3500.312
1753479459.677639192,865082,0,3500.312
1753479460.188581153,865082,0,3499.822
1753479460.699325362,865082,1,3500.032
1753479461.210208729,865082,1,3500.068
1753479461.720811855,865082,1,3500.557
1753479462.231511847,865082,0,3500.315
1753479462.741702220,865082,0,3499.403
1753479463.252220477,865082,1,3499.718
1753479463.763084594,865082,1,3499.787
1753479464.273961320,865082,1,3499.856
1753479464.784298915,865082,1,3499.962
1753479465.294683503,865082,1,3499.997
1753479465.804870246,865082,1,3499.682
1753479466.315026337,865082,1,3499.892
1753479466.825536419,865082,1,3500.102
1753479467.335840383,865082,1,3499.543
1753479467.846108556,865082,1,3499.857
1753479468.356636877,865082,1,3499.645
1753479468.867469996,865082,0,3499.651
1753479469.378186261,865082,0,3499.997
1753479469.888998662,865082,1,3499.787
1753479470.399797403,865082,1,3499.572
1753479470.910723292,865082,1,3499.892
1753479471.421894387,865082,1,3500.417
1753479471.932169142,865082,1,3499.683
1753479472.443029383,865082,0,3498.995
1753479472.953704726,865082,1,3500.102
1753479473.464576744,865082,1,3499.997
1753479473.974965760,865082,1,3499.299
1753479474.485710797,865082,0,3499.753
1753479474.996418014,865082,1,3500.032
1753479475.506871706,865082,0,3499.228
1753479476.017479532,865082,0,3500.032
1753479476.527861670,865082,0,3499.098
1753479477.038625969,865082,1,3499.018
1753479477.549501810,865082,1,3499.822
1753479478.060230394,865082,1,3500.417
1753479478.570947815,865082,1,3500.172
1753479479.081732790,865082,1,3500.242
1753479479.592553291,865082,1,3499.548
1753479480.103435880,865082,1,3499.402
1753479480.614538267,865082,1,3500.032
1753479481.124831644,865082,1,3499.680
1753479481.635960883,865082,1,3500.172
1753479482.146725437,865082,0,3499.612
1753479482.657775288,865082,0,3499.892
1753479483.168643375,865082,0,3499.752
1753479483.679252618,865082,0,3499.997
1753479484.190117249,865082,1,3499.997
1753479484.700888036,865082,1,3500.312
1753479485.211594733,865082,0,3499.790
1753479485.722304470,865082,0,3500.172
1753479486.232938511,865082,0,3499.962
1753479486.743630156,865082,0,3500.103
1753479487.254084236,865082,0,3500.103
1753479487.764425533,865082,0,3499.997
1753479488.275181342,865082,1,3499.298
1753479488.785682103,865082,1,3500.207
1753479489.296456874,865082,1,3500.032
1753479489.807171791,865082,1,3499.997
1753479490.317953848,865082,0,3499.997
1753479490.828760889,865082,0,3499.133
1753479491.339518206,865082,1,3500.172
1753479491.850439377,865082,1,3499.997
1753479492.360963360,865082,1,3499.577
1753479492.871657632,865082,1,3499.927
1753479493.382191938,865082,1,3499.857
1753479493.892349440,865082,1,3499.891
1753479494.402856136,865082,0,3499.927
1753479494.913296350,865082,0,3499.645
1753479495.424116124,865082,0,3500.417
1753479495.934893862,865082,1,3499.857
1753479496.445678720,865082,0,3499.376
1753479496.955893975,865082,1,3499.224
1753479497.466311038,865082,1,3499.376
1753479497.976872242,865082,0,3500.207
1753479498.487285605,865082,0,3499.543
1753479498.998387545,865082,1,3499.927
1753479499.508762746,865082,1,3499.787
1753479500.019352177,865082,0,3500.452
1753479500.529789771,865082,0,3499.962
1753479501.040254802,865082,0,3499.195
1753479501.550872508,865082,0,3499.893
1753479502.061745101,865082,0,3499.514
1753479502.572748536,865082,0,3500.032
1753479503.083493383,865082,0,3499.787
1753479503.593731872,865082,0,3499.548
1753479504.104109873,865082,0,3499.927
1753479504.614655454,865082,0,3500.067
1753479505.125058995,865082,0,3499.574
1753479505.635912098,865082,0,3500.032
1753479506.146336630,865082,0,3499.680
1753479506.657048727,865082,0,3499.717
1753479507.167662164,865082,0,3499.962
1753479507.678796700,865082,0,3500.207
1753479508.189558853,865082,0,3500.280
1753479508.700184604,865082,0,3500.068
1753479509.210909850,865082,0,3499.926
1753479509.721789875,865082,0,3500.137
1753479510.232515468,865082,0,3500.172
1753479510.743479667,865082,0,3499.437
1753479511.253762762,865082,0,3499.856
1753479511.764214408,865082,0,3499.647
1753479512.274959172,865082,0,3500.032
1753479512.785594446,865082,1,3500.732
1753479513.296236860,865082,1,3499.717
1753479513.806868619,865082,1,3499.367
1753479514.318113247,865082,1,3499.227
1753479514.829396934,865082,1,3499.150
1753479515.339675040,865082,1,3499.613
1753479515.850796154,865082,1,3499.892
1753479516.361575445,865082,0,3499.891
1753479516.872636072,865082,1,3499.997
1753479517.383756633,865082,1,3499.263
1753479517.894727929,865082,1,3500.242
1753479518.405858866,865082,1,3499.927
1753479518.916796663,865082,1,3499.612
1753479519.427939990,865082,1,3500.627
1753479519.939095516,865082,1,3499.997
1753479520.449916138,865082,1,3499.157
1753479520.960615393,865082,0,3500.067
1753479521.471467852,865082,0,3499.717
1753479521.981694166,865082,1,3499.298
1753479522.492093983,865082,1,3499.682
1753479523.002871870,865082,1,3500.032
1753479523.513743669,865082,1,3499.122
1753479524.024211900,865082,1,3499.962
1753479524.534753405,865082,1,3499.648
1753479525.045598955,865082,1,3499.548
1753479525.556343262,865082,1,3499.682
1753479526.066804188,865082,1,3499.822
