code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,4096,16.638,246.183,8.25,6.144,6.118,0.026,2.244
RS,16,4,16,1,32,64,4096,24.893,164.544,4.419,6.458,6.25,0.208,14.016
RS,32,4,32,1,32,64,4096,19.383,211.319,5.25,6.691,6.577,0.114,7.442
RS,4,4,4,1,32,64,4096,62.302,65.7443,2.404,6.634,5.832,0.802,53.264
RS,64,4,64,1,32,64,4096,15.029,272.54,4.432,6.589,6.532,0.057,4.008
RS,8,4,8,1,32,64,4096,37.599,108.939,4.197,6.283,5.88,0.403,27.119
RS,128,4,128,1,32,64,4096,16.638,246.183,8.25,6.144,6.118,0.026,2.244
RS,16,4,16,1,32,64,4096,24.893,164.544,4.419,6.458,6.25,0.208,14.016
RS,32,4,32,1,32,64,4096,19.383,211.319,5.25,6.691,6.577,0.114,7.442
RS,4,4,4,1,32,64,4096,62.302,65.7443,2.404,6.634,5.832,0.802,53.264
RS,64,4,64,1,32,64,4096,15.029,272.54,4.432,6.589,6.532,0.057,4.008
RS,8,4,8,1,32,64,4096,37.599,108.939,4.197,6.283,5.88,0.403,27.119
