code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,32,4,32,1,128,64,8192,1847.53,4.43404,1821.56,11.696,11.49,0.206,14.269,0
RS,32,4,32,1,128,64,8192,35.339,231.812,8.774,12.252,12.045,0.207,14.313,1
RS,32,4,32,1,16,64,1024,117.898,8.68547,114.612,1.449,1.424,0.025,1.837,0
RS,32,4,32,1,16,64,1024,4.385,233.523,1.116,1.455,1.431,0.024,1.814,1
RS,32,4,32,1,1,64,64,5.505,11.6258,5.252,0.093,0.092,0.001,0.16,0
RS,32,4,32,1,1,64,64,0.294,217.687,0.054,0.08,0.08,0,0.16,1
RS,32,4,32,1,2,64,128,13.042,9.81445,12.59,0.198,0.195,0.003,0.254,0
RS,32,4,32,1,2,64,128,0.641,199.688,0.134,0.24,0.237,0.003,0.267,1
RS,32,4,32,1,32,64,2048,230.344,8.89105,223.82,2.919,2.868,0.051,3.605,0
RS,32,4,32,1,32,64,2048,10.71,191.223,4.207,2.92,2.87,0.05,3.583,1
RS,32,4,32,1,4,64,256,31.666,8.08438,30.817,0.366,0.36,0.006,0.483,0
RS,32,4,32,1,4,64,256,1.11,230.631,0.263,0.36,0.353,0.007,0.487,1
RS,32,4,32,1,64,64,4096,1180.39,3.47005,1167.44,5.804,5.702,0.102,7.138,0
RS,32,4,32,1,64,64,4096,20.574,199.086,7.627,5.827,5.725,0.102,7.12,1
RS,32,4,32,1,8,64,512,54.093,9.46518,52.431,0.732,0.72,0.012,0.93,0
RS,32,4,32,1,8,64,512,2.167,236.271,0.521,0.731,0.719,0.012,0.915,1
RS,32,4,32,1,128,64,8192,1847.53,4.43404,1821.56,11.696,11.49,0.206,14.269,0
RS,32,4,32,1,128,64,8192,35.339,231.812,8.774,12.252,12.045,0.207,14.313,1
RS,32,4,32,1,16,64,1024,117.898,8.68547,114.612,1.449,1.424,0.025,1.837,0
RS,32,4,32,1,16,64,1024,4.385,233.523,1.116,1.455,1.431,0.024,1.814,1
RS,32,4,32,1,1,64,64,5.505,11.6258,5.252,0.093,0.092,0.001,0.16,0
RS,32,4,32,1,1,64,64,0.294,217.687,0.054,0.08,0.08,0,0.16,1
RS,32,4,32,1,2,64,128,13.042,9.81445,12.59,0.198,0.195,0.003,0.254,0
RS,32,4,32,1,2,64,128,0.641,199.688,0.134,0.24,0.237,0.003,0.267,1
RS,32,4,32,1,32,64,2048,230.344,8.89105,223.82,2.919,2.868,0.051,3.605,0
RS,32,4,32,1,32,64,2048,10.71,191.223,4.207,2.92,2.87,0.05,3.583,1
RS,32,4,32,1,4,64,256,31.666,8.08438,30.817,0.366,0.36,0.006,0.483,0
RS,32,4,32,1,4,64,256,1.11,230.631,0.263,0.36,0.353,0.007,0.487,1
RS,32,4,32,1,64,64,4096,1180.39,3.47005,1167.44,5.804,5.702,0.102,7.138,0
RS,32,4,32,1,64,64,4096,20.574,199.086,7.627,5.827,5.725,0.102,7.12,1
RS,32,4,32,1,8,64,512,54.093,9.46518,52.431,0.732,0.72,0.012,0.93,0
RS,32,4,32,1,8,64,512,2.167,236.271,0.521,0.731,0.719,0.012,0.915,1
