code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,128,4,128,1,32,64,4096,16.032,255.489,7.284,6.405,6.378,0.027,2.343,1
RS,16,4,16,1,32,64,4096,25.091,163.246,4.438,6.586,6.357,0.229,14.067,1
RS,32,4,32,1,32,64,4096,18.812,217.733,4.558,6.739,6.628,0.111,7.515,1
RS,4,4,4,1,32,64,4096,63.642,64.36,2.44,7.154,6.282,0.872,54.048,1
RS,64,4,64,1,32,64,4096,15.202,269.438,4.331,6.808,6.754,0.054,4.063,1
RS,8,4,8,1,32,64,4096,38.848,105.437,4.269,7.003,6.554,0.449,27.576,1
RS,128,4,128,1,32,64,4096,16.032,255.489,7.284,6.405,6.378,0.027,2.343,1
RS,16,4,16,1,32,64,4096,25.091,163.246,4.438,6.586,6.357,0.229,14.067,1
RS,32,4,32,1,32,64,4096,18.812,217.733,4.558,6.739,6.628,0.111,7.515,1
RS,4,4,4,1,32,64,4096,63.642,64.36,2.44,7.154,6.282,0.872,54.048,1
RS,64,4,64,1,32,64,4096,15.202,269.438,4.331,6.808,6.754,0.054,4.063,1
RS,8,4,8,1,32,64,4096,38.848,105.437,4.269,7.003,6.554,0.449,27.576,1
