code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time,isa-l
RS,4,4,4,1,32,64,4096,63.657,64.3448,2.44,7.1,6.268,0.832,54.117,1
RS,8,4,8,1,32,64,4096,38.201,107.222,4.226,6.589,6.179,0.41,27.386,1
RS,16,4,16,1,32,64,4096,24.885,164.597,4.44,6.402,6.197,0.205,14.043,1
RS,32,4,32,1,32,64,4096,17.876,229.134,4.328,6.227,6.126,0.101,7.321,1
RS,64,4,64,1,32,64,4096,14.703,278.583,4.443,6.238,6.185,0.053,4.022,1
RS,68,4,68,1,32,64,2176,7.645,284.63,2.333,3.289,3.264,0.025,2.023,1
RS,72,4,72,1,32,64,2304,7.946,289.957,2.428,3.467,3.441,0.026,2.051,1
RS,76,4,76,1,32,64,2432,8.286,293.507,2.571,3.644,3.619,0.025,2.071,1
RS,80,4,80,1,32,64,2560,8.651,295.92,2.731,3.836,3.811,0.025,2.084,1
RS,84,4,84,1,32,64,2688,9.756,275.523,3.526,4.121,4.095,0.026,2.109,1
RS,88,4,88,1,32,64,2816,9.541,295.147,3.01,4.356,4.331,0.025,2.175,1
RS,92,4,92,1,32,64,2944,10.174,289.365,3.562,4.445,4.419,0.026,2.167,1
RS,96,4,96,1,32,64,3072,10.184,301.65,3.356,4.648,4.622,0.026,2.18,1
RS,100,4,100,1,32,64,3200,10.743,297.868,3.516,4.979,4.953,0.026,2.248,1
RS,104,4,104,1,32,64,3328,10.923,304.678,3.766,4.965,4.939,0.026,2.192,1
RS,108,4,108,1,32,64,3456,12.325,280.406,4.881,5.186,5.16,0.026,2.258,1
RS,112,4,112,1,32,64,3584,12.807,279.847,5.22,5.351,5.325,0.026,2.236,1
RS,116,4,116,1,32,64,3712,13.065,284.118,5.255,5.553,5.527,0.026,2.257,1
RS,120,4,120,1,32,64,3840,14.392,266.815,6.202,5.875,5.849,0.026,2.315,1
RS,124,4,124,1,32,64,3968,16.558,239.642,8.405,5.852,5.826,0.026,2.301,1
RS,128,4,128,1,32,64,4096,14.856,275.714,6.469,6.078,6.052,0.026,2.309,1
