k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
4,4,32,256,23.895,23.334,0.467,0.094,0
4,4,32,256,0.869,0.325,0.468,0.076,1
8,4,32,512,69.84,68.83,0.873,0.137,0
8,4,32,512,1.761,0.723,0.903,0.135,1
16,4,32,1024,3.188,1.292,1.679,0.217,1
16,4,32,1024,141.089,139.205,1.66,0.224,0
32,4,32,2048,6.044,2.366,3.285,0.393,1
32,4,32,2048,276.678,272.92,3.369,0.389,0
64,4,32,4096,11.451,4.505,6.231,0.715,1
64,4,32,4096,549.642,542.282,6.658,0.702,0
128,4,32,8192,27.417,13.828,12.25,1.339,1
128,4,32,8192,1769.54,1755.56,12.722,1.258,0
