k,m,block_size,total_data_size,encode_time,compute_time,io_time,other_time,isa-l
128,4,32,4096,1241.84,1234.61,6.641,0.596,0
128,4,32,4096,19.556,12.164,6.775,0.617,1
16,4,32,512,71.482,70.379,0.997,0.106,0
16,4,32,512,1.757,0.662,0.975,0.12,1
32,4,32,1024,141.847,139.585,2.076,0.186,0
32,4,32,1024,3.536,1.17,2.175,0.191,1
4,4,32,128,12.1,11.697,0.349,0.054,0
4,4,32,128,0.557,0.18,0.321,0.056,1
64,4,32,2048,276.836,273.014,3.493,0.329,0
64,4,32,2048,6.036,2.257,3.452,0.327,1
8,4,32,256,34.935,34.356,0.501,0.078,0
8,4,32,256,0.974,0.386,0.515,0.073,1
