timestamp,pid,core,frequency(MHz)
CPU core and frequency monitoring started for PID 866261
1753394211.175970818,866261,0,2700.000
1753394211.711115405,866261,4,2700.000
1753394212.246323985,866261,0,2700.000
1753394212.781340929,866261,4,2700.000
1753394213.315516729,866261,5,2700.000
1753394213.849855487,866261,5,2700.000
1753394214.384709071,866261,5,2700.000
1753394214.920120532,866261,5,2700.000
1753394215.454514205,866261,4,2700.000
1753394215.988897175,866261,5,2700.000
1753394216.524699166,866261,5,2700.000
1753394217.058851018,866261,5,2700.000
1753394217.592700643,866261,5,2700.000
1753394218.126398654,866261,5,2700.000
1753394218.661142713,866261,5,2700.000
1753394219.194822406,866261,5,2700.000
1753394219.728269558,866261,5,2700.000
1753394220.261703563,866261,5,2700.000
1753394220.795247936,866261,5,2700.000
1753394221.328922800,866261,5,2700.000
1753394221.862976529,866261,5,2700.000
1753394222.396830965,866261,5,2700.000
