code_type,k,m,x,y,block_size,total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,5,8,8192,3.047,2688.55,0.331,0.426,0.423,0.003,2.29
RS,128,4,14,4,8,8192,1.012,8094.86,0.347,-1.343,-1.347,0.004,2.008
RS,128,4,16,4,8,8192,2.337,3505.35,0.325,0.434,0.431,0.003,1.578
RS,128,4,18,3,8,8192,3.144,2605.6,0.379,0.508,0.504,0.004,2.257
RS,128,4,20,3,8,8192,2.992,2737.97,0.379,0.522,0.516,0.006,2.091
RS,128,4,22,2,8,8192,3.426,2391.13,0.457,0.669,0.662,0.007,2.3
RS,128,4,24,2,8,8192,3.728,2197.42,0.506,0.727,0.719,0.008,2.495
RS,128,4,26,2,8,8192,3.281,2496.8,0.499,0.711,0.703,0.008,2.071
RS,128,4,28,2,8,8192,3.364,2435.2,0.513,0.722,0.715,0.007,2.129
RS,128,4,30,2,8,8192,3.492,2345.93,0.571,0.763,0.755,0.008,2.158
RS,128,4,32,2,8,8192,2.954,2773.19,0.521,0.744,0.739,0.005,1.689
RS,128,4,34,1,8,8192,3.956,2070.78,1.173,-0.207,-0.217,0.01,2.99
RS,128,4,36,1,8,8192,5.383,1521.83,1.104,1.427,1.418,0.009,2.852
RS,128,4,38,1,8,8192,5.498,1490,1.149,1.526,1.517,0.009,2.823
RS,128,4,4,16,8,8192,8.717,939.773,0.476,4.849,4.848,0.001,3.392
RS,128,4,40,1,8,8192,5.69,1439.72,1.186,1.556,1.546,0.01,2.948
RS,128,4,42,1,8,8192,5.701,1436.94,1.222,1.57,1.561,0.009,2.909
RS,128,4,44,1,8,8192,5.261,1557.12,1.266,1.571,1.561,0.01,2.424
RS,128,4,46,1,8,8192,5.46,1500.37,1.281,1.691,1.681,0.01,2.488
RS,128,4,48,1,8,8192,5.201,1575.08,1.186,1.605,1.596,0.009,2.41
RS,128,4,50,1,8,8192,5.365,1526.93,1.176,1.767,1.757,0.01,2.422
RS,128,4,52,1,8,8192,3.26,2512.88,-1.12,1.872,1.86,0.012,2.508
RS,128,4,54,1,8,8192,5.394,1518.72,1.201,1.765,1.755,0.01,2.428
RS,128,4,56,1,8,8192,5.734,1428.67,1.257,1.942,1.933,0.009,2.535
RS,128,4,58,1,8,8192,5.718,1432.67,1.299,1.914,1.904,0.01,2.505
RS,128,4,6,10,8,8192,3.179,2576.91,0.308,0.23,0.229,0.001,2.641
RS,128,4,60,1,8,8192,5.927,1382.15,1.403,1.947,1.937,0.01,2.577
RS,128,4,62,1,8,8192,3.978,2059.33,1.29,0.212,0.202,0.01,2.476
RS,128,4,64,1,8,8192,5.134,1595.64,1.373,1.885,1.876,0.009,1.876
RS,128,4,8,8,8,8192,2.445,3350.51,0.28,0.261,0.26,0.001,1.904
