code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,12,21,16,1024,65536,13.364,4903.92,2.641,3.224,3.193,0.031,7.499
RS,128,4,14,18,16,1024,65536,11.532,5682.97,3.084,3.071,3.06,0.011,5.377
RS,128,4,16,16,16,1024,65536,12.136,5400.13,3.088,3.357,3.319,0.038,5.691
RS,128,4,18,14,16,1024,65536,13.438,4876.92,3.04,3.559,3.54,0.019,6.839
RS,128,4,20,12,16,1024,65536,10.047,6522.94,2.395,3.232,3.207,0.025,4.42
RS,128,4,22,11,16,1024,65536,11.338,5780.21,2.619,3.316,3.284,0.032,5.403
RS,128,4,24,10,16,1024,65536,10.361,6325.26,2.315,3.265,3.227,0.038,4.781
RS,128,4,26,9,16,1024,65536,10.977,5970.3,2.255,3.126,3.077,0.049,5.596
RS,128,4,28,9,16,1024,65536,11.755,5575.16,2.563,3.344,3.319,0.025,5.848
RS,128,4,30,8,16,1024,65536,9.436,6945.32,2.267,3.378,3.353,0.025,3.791
RS,128,4,32,8,16,1024,65536,10.364,6323.43,2.416,3.467,3.429,0.038,4.481
RS,128,4,34,7,16,1024,65536,11.408,5744.74,2.516,3.521,3.494,0.027,5.371
RS,128,4,36,7,16,1024,65536,9.483,6910.89,2.372,3.568,3.54,0.028,3.543
RS,128,4,38,6,16,1024,65536,12.775,5130.02,2.445,3.989,3.963,0.026,6.341
RS,128,4,4,64,16,1024,65536,26.438,2478.86,4.244,9.119,9.092,0.027,13.075
RS,128,4,40,6,16,1024,65536,12.723,5150.99,2.544,4.079,4.039,0.04,6.1
RS,128,4,42,6,16,1024,65536,10.218,6413.78,2.541,1.946,1.9,0.046,5.731
RS,128,4,44,5,16,1024,65536,12.962,5056.01,2.84,4.471,4.443,0.028,5.651
RS,128,4,46,5,16,1024,65536,10.861,6034.07,0.652,4.419,4.387,0.032,5.79
RS,128,4,48,5,16,1024,65536,13.056,5019.61,3.003,4.469,4.433,0.036,5.584
RS,128,4,50,5,16,1024,65536,13.022,5032.71,2.834,4.342,4.31,0.032,5.846
RS,128,4,52,4,16,1024,65536,14.067,4658.85,3.506,4.482,4.445,0.037,6.079
RS,128,4,54,4,16,1024,65536,12,5461.33,1.021,4.638,4.606,0.032,6.341
RS,128,4,56,4,16,1024,65536,15.281,4288.72,4.015,4.651,4.618,0.033,6.615
RS,128,4,58,4,16,1024,65536,13.463,4867.86,4.022,4.781,4.751,0.03,4.66
RS,128,4,6,42,16,1024,65536,15.735,4164.98,2.681,0.732,0.727,0.005,12.322
RS,128,4,60,4,16,1024,65536,15.925,4115.29,4.604,4.753,4.72,0.033,6.568
RS,128,4,62,4,16,1024,65536,14.367,4561.56,4.932,3.01,2.976,0.034,6.425
RS,128,4,64,4,16,1024,65536,15.658,4185.46,5.539,5.161,5.13,0.031,4.958
RS,128,4,8,32,16,1024,65536,14.81,4425.12,3.077,3.092,3.089,0.003,8.641
