code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,64,4,16,4,32,64,16384,25.052,654,0.661,21.182,21.168,0.014,3.209
RS,64,4,20,3,32,64,16384,19.254,850.94,0.924,13.696,13.665,0.031,4.634
RS,64,4,24,2,32,64,16384,18.287,895.937,1.161,12.451,12.414,0.037,4.675
RS,64,4,28,2,32,64,16384,23.1,709.264,1.199,17.228,17.194,0.034,4.673
RS,64,4,32,2,32,64,16384,17.61,930.38,1.199,12.995,12.963,0.032,3.416
RS,64,4,36,1,32,64,16384,24.878,658.574,2.318,15.919,15.852,0.067,6.641
RS,64,4,40,1,32,64,16384,29.87,548.51,2.321,20.899,20.833,0.066,6.65
RS,64,4,44,1,32,64,16384,23.338,702.031,2.353,14.358,14.291,0.067,6.627
RS,64,4,48,1,32,64,16384,28.272,579.513,2.397,19.238,19.167,0.071,6.637
RS,64,4,52,1,32,64,16384,36.397,450.147,2.455,27.254,27.183,0.071,6.688
RS,64,4,56,1,32,64,16384,37.457,437.408,2.438,28.26,28.188,0.072,6.759
RS,64,4,60,1,32,64,16384,30.081,544.663,2.434,21.003,20.935,0.068,6.644
RS,64,4,64,1,32,64,16384,26.447,619.503,2.483,19.356,19.281,0.075,4.608
RS,64,4,8,8,32,64,16384,32.58,502.885,0.529,28.58,28.569,0.011,3.471
