code_type,k,m,x,y,block_size,chunk_size(KB),total_data_size,encode_time,encode_throughput,compute_time,io_time,read_time,simulated_send_time,other_time
RS,128,4,128,1,32,64,4096,11.803,347.03,1.892,9.299,9.293,0.006,0.612
RS,16,4,16,1,32,64,512,1.651,310.115,0.076,1.139,1.133,0.006,0.436
RS,32,4,32,1,32,64,1024,3.328,307.692,0.226,2.611,2.605,0.006,0.491
RS,4,4,4,1,32,64,128,0.739,173.207,0.016,0.286,0.28,0.006,0.437
RS,64,4,64,1,32,64,2048,4.764,429.891,0.544,3.725,3.719,0.006,0.495
RS,8,4,8,1,32,64,256,1.045,244.976,0.036,0.573,0.565,0.008,0.436
RS,128,4,128,1,32,64,4096,11.803,347.03,1.892,9.299,9.293,0.006,0.612
RS,16,4,16,1,32,64,512,1.651,310.115,0.076,1.139,1.133,0.006,0.436
RS,32,4,32,1,32,64,1024,3.328,307.692,0.226,2.611,2.605,0.006,0.491
RS,4,4,4,1,32,64,128,0.739,173.207,0.016,0.286,0.28,0.006,0.437
RS,64,4,64,1,32,64,2048,4.764,429.891,0.544,3.725,3.719,0.006,0.495
RS,8,4,8,1,32,64,256,1.045,244.976,0.036,0.573,0.565,0.008,0.436
